,date,type,adress,price,surface,room
91,17.02.2020,Büro,"

Adresse
Brunnmatt 16
6330 Cham

","

Preis

CHF
179 Jahr/m2


","
Fläche
224 m2
","
Zimmer
-
"
92,04.02.2020,Büro,"

Adresse
Riedstr. 1
6330 Cham

","

Preis

CHF
135 Jahr/m2


","
Fläche
100 m2
","
Zimmer
-
"
93,16.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 35
6330 Cham

","

Preis

CHF
2'700 pro Monat


","
Fläche
-
","
Zimmer
-
"
94,25.01.2020,Tiefgarage,"

Adresse
Brunnmatt
6330 Cham

","

Preis

CHF
140 pro Monat


","
Fläche
-
","
Zimmer
 -
"
95,25.03.2020,Gewerbe,"

Adresse
Riedstrasse 11/13
6330 Cham

","

Preis

CHF
154 Jahr/m2


","
Fläche
151 m2
","
Zimmer
-
"
96,05.11.2019,Büro,"

Adresse
Alte Steinhauserstrasse 20
6330 Cham

","

Preis

CHF
149 Jahr/m2


","
Fläche
432 m2
","
Zimmer
-
"
97,29.01.2020,Lager,"

Adresse
Zugerstrasse 49
6330 Cham

","

Preis

CHF
1'850 pro Monat


","
Fläche
190 m2
","
Zimmer
-
"
98,25.03.2020,Büro,"

Adresse
Hinterbergstrasse 9
6330 Cham

","

Preis

CHF
162 Jahr/m2


","
Fläche
358 m2
","
Zimmer
-
"
99,17.09.2019,Tiefgarage,"

Adresse
Luzernerstrasse 9/11
6330 Cham

","

Preis

CHF
160 pro Monat


","
Fläche
-
","
Zimmer
-
"
100,10.03.2020,Gewerbe,"

Adresse
Areal Cham Paper Group
6330 Cham

","

Preis

CHF
245 pro Monat


","
Fläche
-
","
Zimmer
-
"
101,04.12.2019,Büro,"

Adresse
Gewerbestrasse 9
6330 Cham

","

Preis

CHF
480 pro Monat


","
Fläche
-
","
Zimmer
-
"
102,07.01.2020,Gewerbe,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
180 Jahr/m2


","
Fläche
690 m2
","
Zimmer
-
"
103,01.03.2020,Büro,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
255 Jahr/m2


","
Fläche
262 m2
","
Zimmer
-
"
104,10.01.2020,Büro,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
195 Jahr/m2


","
Fläche
175 m2
","
Zimmer
-
"
105,07.01.2020,Büro,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
190 Jahr/m2


","
Fläche
 2461 m2
","
Zimmer
-
"
106,10.01.2020,Tiefgarage,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
180 pro Monat


","
Fläche
-
","
Zimmer
-
"
107,25.03.2020,Werbefläche,"

Adresse
Zugerstrasse 15|17
6330 Cham

","

Preis

CHF
83 pro Monat


","
Fläche
-
","
Zimmer
-
"
108,24.01.2020,offener Parkplatz,"

Adresse
Alpenblick 7/9
6330 Cham

","

Preis

CHF
50 pro Monat


","
Fläche
-
","
Zimmer
-
"
109,19.02.2020,Möbliertes Wohnobjekt,"

Adresse
Bahnhofstrasse 2
6330 Cham

","

Preis

CHF
1'500 pro Monat


","
Fläche
15 m2
","
Zimmer
1
"
