ID,date,Typ,Zimmer,Fläche,Preis,PLZ BfS,PLZ Crawler,Ort,Kanton
59876,14/03/2020,Attikawohnung,"5,5",220,2330,5507,5507,Mellingen,Aargau
59877,07/03/2020,Wohnung,4,85,1543,4852,4852,Rothrist,Aargau
59877,07/03/2020,Wohnung,4,85,1543,4852,4852,Rothrist,Aargau
59879,20/03/2020,Wohnung,4,80,1565,8193,8193,Eglisau,Zürich
59879,20/03/2020,Wohnung,4,80,1565,8193,8193,Eglisau,Zürich
59882,24/01/2020,Büro,2,61,1037,8123,8123,Ebmatingen,Zürich
59886,04/12/2019,Wohnung,"2,5",45,1280,2000,2000,Neuchâtel,Neuchâtel
59886,04/12/2019,Wohnung,"2,5",45,1280,2000,2000,Neuchâtel,Neuchâtel
59886,04/12/2019,Wohnung,"2,5",45,1280,2000,2000,Neuchâtel,Neuchâtel
59890,12/02/2020,Wohnung,"4,5",130,2390,3362,3362,Niederönz,Bern
59891,24/01/2020,Wohnung,"4,5",101,1716,6834,6834,Morbio Inferiore,Tessin
59894,10/03/2020,Wohnung,"4,5",104,1660,1562,1562,Corcelles-près-Payerne,Waadt
59894,10/03/2020,Wohnung,"4,5",104,1660,1562,1562,Corcelles-près-Payerne,Waadt
59894,10/03/2020,Wohnung,"4,5",104,1660,1562,1562,Corcelles-près-Payerne,Freiburg
59897,27/02/2020,Wohnung,3,69,1390,1920,1920,Martigny,Wallis
59897,27/02/2020,Wohnung,3,69,1390,1920,1920,Martigny,Wallis
59928,02/03/2020,Wohnung,"5,5",112,2260,3072,3072,Ostermundigen,Bern
59928,02/03/2020,Wohnung,"5,5",112,2260,3072,3072,Ostermundigen,Bern
59931,12/03/2020,Wohnung,"3,5",78,1680,8604,8604,Volketswil,Zürich
59934,09/10/2019,Wohnung,"4,5",126,2340,5425,5425,Schneisingen,Aargau
59935,09/10/2019,Wohnung,"4,5",127,2200,6612,6612,Ascona,Tessin
59935,09/10/2019,Wohnung,"4,5",127,2200,6612,6612,Ascona,Tessin
59936,16/03/2020,Wohnung,"3,5",85,1500,6900,6900,Lugano,Tessin
59936,16/03/2020,Wohnung,"3,5",85,1500,6900,6900,Lugano,Tessin
59936,16/03/2020,Wohnung,"3,5",85,1500,6900,6900,Lugano,Tessin
59938,05/03/2020,Wohnung,"4,5",101,1860,4222,4222,Zwingen,Basel-Landschaft
59939,17/03/2020,Wohnung,1,29,1090,8808,8808,Pfäffikon SZ,Schwyz
59940,19/02/2020,Wohnung,"3,5",72,1150,4632,4632,Trimbach,Solothurn
59940,19/02/2020,Wohnung,"3,5",72,1150,4632,4632,Trimbach,Solothurn
59940,19/02/2020,Wohnung,"3,5",72,1150,4632,4632,Trimbach,Solothurn
59945,06/12/2019,Wohnung,"4,5",96,1950,1854,1854,Leysin,Waadt
59949,16/12/2019,Dachwohnung,"3,5",108,1630,5303,5303,Würenlingen,Aargau
59951,09/10/2019,Wohnung,"4,5",105,2150,8808,8808,Pfäffikon SZ,Schwyz
59952,09/10/2019,Wohnung,"2,5",62,6500,8125,8125,Zollikerberg,Zürich
59952,09/10/2019,Wohnung,"2,5",62,6500,8125,8125,Zollikerberg,Zürich
59953,17/03/2020,Wohnung,"4,5",144,2460,8222,8222,Beringen,Schaffhausen
59953,17/03/2020,Wohnung,"4,5",144,2460,8222,8222,Beringen,Schaffhausen
59954,19/03/2020,Maisonette / Duplex,"5,5",143,1995,1522,1522,Lucens,Waadt
59954,19/03/2020,Maisonette / Duplex,"5,5",143,1995,1522,1522,Lucens,Waadt
59957,10/02/2020,Maisonette / Duplex,"4,5",121,2430,8475,8475,Ossingen,Zürich
59958,15/10/2019,Möbliertes Wohnobjekt,"1,5",26,1950,6003,6003,Luzern,Luzern
59959,09/10/2019,Möbliertes Wohnobjekt,"3,5",68,3950,6003,6003,Luzern,Luzern
59962,09/10/2019,Maisonette / Duplex,4,101,2690,8708,8708,Männedorf,Zürich
59968,04/02/2020,Wohnung,"3,5",90,1790,1462,1462,Yvonand,Waadt
59969,09/10/2019,Wohnung,1,37,960,1852,1852,Roche VD,Waadt
59969,09/10/2019,Wohnung,1,37,960,1852,1852,Roche VD,Waadt
59977,23/12/2019,Wohnung,"4,5",93,1350,2603,2603,Péry,Bern
59977,23/12/2019,Wohnung,"4,5",93,1350,2603,2603,Péry,Bern
59979,09/01/2020,Wohnung,"1,5",40,850,6853,6853,Ligornetto,Tessin
59979,09/01/2020,Wohnung,"1,5",40,850,6853,6853,Ligornetto,Tessin
59981,24/02/2020,Maisonette / Duplex,"4,5",180,2000,6853,6853,Ligornetto,Tessin
59981,24/02/2020,Maisonette / Duplex,"4,5",180,2000,6853,6853,Ligornetto,Tessin
59982,18/03/2020,Wohnung,"4,5",120,2540,8180,8180,Bülach,Zürich
59982,18/03/2020,Wohnung,"4,5",120,2540,8180,8180,Bülach,Zürich
59982,18/03/2020,Wohnung,"4,5",120,2540,8180,8180,Bülach,Zürich
59986,05/03/2020,Wohnung,1,29,1170,4053,4053,Basel,Basel-Landschaft
59986,05/03/2020,Wohnung,1,29,1170,4053,4053,Basel,Basel-Stadt
59988,07/01/2020,Wohnung,"4,5",102,2160,8912,8912,Obfelden,Zürich
