,ID,date,Strasse,Hausnummer,PLZ,Ort,Kanton,type,Zimmer,Fläche,Preis
25546,48139,10.01.2020,Mattenweg ,12,4665,Oftringen,Aargau,Wohnung,3,80,1350
25547,48140,17.03.2020,Via E. Bossi ,6,6900,Lugano,Tessin,Büro,1,16,850
25548,48142,12.03.2020,Ettenbergstrasse ,7,8907,Wettswil,Zürich,Wohnung,4.5,120,2590
25549,48143,12.03.2020,Tüfweg ,1,8044,Gockhausen,Zürich,Wohnung,5.5,176,2812
25550,48145,10.01.2020,Sternenhofstrasse ,15,4153,Reinach BL,Basel-Landschaft,Büro,-,483,195
25551,48147,13.03.2020,Hauptstrasse ,8,5200,Brugg AG,Aargau,Praxis,-,111,3565
25552,48153,02.03.2020,Alte Landstrasse ,29,8702,Zollikon,Zürich,Wohnung,4.5,179,4830
25553,48154,18.02.2020,Route du Boiron ,4,1260,Nyon,Waadt,Wohnung,3.5,91,2880
25554,48155,17.02.2020,Rue Louis de Savoie ,4,1110,Morges,Waadt,Büro,4.5,79,2100
25555,48156,13.02.2020,Rue Tannerie ,12,1227,Carouge GE,Genf,Möbliertes Wohnobjekt,3,55,2500
25556,48159,24.01.2020,Rütibach ,11,8340,Hinwil,Zürich,Wohnung,3.5,79,1600
25557,48160,10.02.2020,Aarestr. ,6,2555,Brügg BE,Bern,Wohnung,3.5,71,1314
25558,48161,25.02.2020,Birmensdorferstrasse ,198,8003,Zürich,Zürich,Büro,-,148,250
25559,48162,06.02.2020,Hardhofstr. ,17,8424,Embrach,Zürich,Lager,-,74,60
25560,48164,12.03.2020,Weite Gasse ,36,5400,Baden,Aargau,Wohnung,3.5,110,3000
25561,48165,13.02.2020,Bernhofstr. ,51,8134,Adliswil,Zürich,Wohnung,3.5,68,1790
25562,48168,10.01.2020,Av. Léopold-Robert ,83,2300,La Chaux-de-Fonds,Neuenburg,Wohnung,3.5,71,1070
25563,48169,11.02.2020,Rebrainstrasse ,23,8106,Adlikon b. Regensdorf,Zürich,Wohnung,2.5,75,1990
25564,48170,15.01.2020,Neumattweg ,9,3250,Lyss,Bern,Wohnung,3.5,65,1350
25565,48171,12.02.2020,Rosentalstrasse ,71,4058,Basel,Basel-Stadt,Wohnung,3,90,1890
25566,48174,10.01.2020,Niderfeldstrasse ,5,4133,Pratteln,Basel-Landschaft,Büro,-,203,5583
25567,48175,10.01.2020,vicolo Valscesa ,4,6517,Arbedo,Tessin,Wohnung,4.5,120,1550
