,ID,date,Strasse,Hausnummer,PLZ,Ort,type,Zimmer,Fläche,Preis
67531,67531,05.03.2020,Neugasse ,5,9602,Bazenheid,Ladenfläche,-,100,1695
67533,67533,27.01.2020,Industriestrasse ,38,4415,Lausen,Geschäftshaus,-,220,4190
67536,67536,27.01.2020,Bärenfelserstrasse ,44,4057,Basel,Wohnung,2.5,55,1735
67537,67537,27.01.2020,Chemin de Brison ,27,1832,Villard-sur-Chamby,Einfamilienhaus,1,30,780
67540,67540,27.01.2020,Oberstrasse ,183,9000,St. Gallen,Möbliertes Wohnobjekt,-,13,490
67544,67544,18.02.2020,Gewerbestrasse ,20,8132,Egg b. Zürich,Büro,1.5,41,527
67545,67545,23.12.2019,Ringstrasse ,6,9200,Gossau SG,Loft,4.5,117,1960
67546,67546,06.03.2020,Hauptstrasse ,31,4144,Arlesheim,Wohnung,3,82,1670
67548,67548,04.02.2020,Neuenkirchstrasse ,19,6020,Emmenbrücke,Wohnung,3,60,1330
67549,67549,10.03.2020,Rue de la Gare ,27,1860,Aigle,Büro,-,190,4407
67550,67550,10.02.2020,rue des Cygnes ,33,1400,Yverdon-les-Bains,Wohnung,3,60,1470
67552,67552,18.02.2020,Wolfackerweg ,14,5303,Würenlingen,Wohnung,5.5,125,2300
67553,67553,13.01.2020,Zürichstrasse ,48,5426,Lengnau AG,Maisonette / Duplex,5.5,154,1970
67554,67554,20.02.2020,Champs-Montants ,12,1483,Montet (Broye),Wohnung,3.5,76,1665
67559,67559,30.07.2019,In der Ey ,47,4612,Wangen b. Olten,Büro,3,180,1500
67560,67560,12.09.2019,Buchgrindelstrasse ,9,8620,Wetzikon ZH,Büro,4,243,4278
67561,67561,05.08.2019,Strickstrasse ,7,8610,Uster,Lager,-,180,1275
67563,67563,28.02.2020,Av. Ruchonnet ,15,1003,Lausanne,Wohnung,2,112,2980
67565,67565,07.01.2020,Am Gottesgraben ,11,5430,Wettingen,Attikawohnung,3.5,109,2690
67566,67566,31.01.2020,Rue du Rhône ,80,1204,Genève,Büro,-,134,8350
67568,67568,18.02.2020,Meyrin ,267,1217,Meyrin,Büro,-,126,3249
67571,67571,21.03.2020,Via Al Boschetto ,4,6900,Lugano,Wohnung,2.5,57,1150
67572,67572,28.01.2020,Rue des Marronniers ,20,1800,Vevey,Wohnung,3.5,74,1600
67577,67577,04.02.2020,Langmoosweg ,7,9404,Rorschacherberg,Wohnung,4,86,1290
67578,67578,16.03.2020,Route de Montana ,32,3968,Veyras,Studio,1.5,40,750
67580,67580,18.02.2020,Aeschenvorstadt ,48,4051,Basel,Ladenfläche,-,385,7052
67581,67581,11.12.2019,Ringstrasse ,26,8317,Tagelswangen,Büro,1,66,140
67584,67584,18.02.2020,Säntisstrasse ,3,9200,Gossau SG,Wohnung,4.5,100,1450
67586,67586,18.02.2020,Säntisstrasse ,1,9200,Gossau SG,Wohnung,3.5,85,1250
67588,67588,24.01.2020,Schwendistutz ,2,3172,Niederwangen BE,Wohnung,3.5,60,1410
67590,67590,18.03.2020,Avenue de la Vignette ,10,1522,Lucens,Wohnung,3.5,81,1560
67593,67593,24.08.2019,Sälistrasse ,16,4665,Oftringen,Wohnung,3.5,100,1675
67595,67595,18.02.2020,Bahnhofstr.,25,8712,Stäfa,Praxis,1,16,950
67599,67599,18.02.2020,Im Oberhof ,4,8240,Thayngen,Wohnung,5.5,173,2150
67605,67605,08.01.2020,Industriestrasse ,44,8152,Glattbrugg,Büro,-,100,100
67606,67606,11.03.2020,Schützenhausstrasse ,11,8505,Pfyn,Wohnung,4.5,102,1820
67607,67607,28.02.2020,Badenerstrasse ,370,8004,Zürich,Möbliertes Wohnobjekt,1,11,950
67608,67608,18.02.2020,Rengglochstrasse ,19,6012,Obernau,Gewerbe,-,900,155
67610,67610,18.02.2020,Zürcherstrasse ,32,8903,Birmensdorf ZH,Maisonette / Duplex,3.5,115,2170
67611,67611,10.12.2019,Lindenbergstrasse ,4,5614,Sarmenstorf,Wohnung,3.5,85,1740
67612,67612,18.02.2020,Rebmattli ,8,8832,Wollerau,Möbliertes Wohnobjekt,1,15,750
67615,67615,18.02.2020,Route du creux-du-loup ,26,1285,Athenaz (Avusy),Doppeleinfamilienhaus,6,74,2950
67616,67616,08.03.2020,Strada Cantonale ,376,7516,Maloja,Wohnung,3.5,102,1950
67617,67617,06.02.2020,Blumenweg ,2,8854,Galgenen,Wohnung,4.5,115,2200
67618,67618,05.03.2020,Wiesenweg ,13,8200,Schaffhausen,Wohnung,3,62,1200
67620,67620,17.03.2020,Dorfstrasse ,20,8905,Islisberg,Wohnung,3.5,99,1945
67621,67621,19.02.2020,Nidfeldstrasse ,1,6010,Kriens,Gewerbe,-,300,125
67622,67622,06.10.2019,Nidfeldstrasse ,1,6010,Kriens,Büro,-,700,150
67625,67625,14.02.2020,Grenzstrasse ,10,5430,Wettingen,Wohnung,3.5,107,2500
67626,67626,20.12.2019,Schweighofstrasse ,192,8045,Zürich,Büro,-,99,2670
67628,67628,18.02.2020,Via Berta ,28,6512,Giubiasco,Wohnung,3.5,75,1300
67631,67631,22.01.2020,Chemin des Prés-Clos ,4,1852,Roche VD,Wohnung,3.5,80,1700
67632,67632,18.02.2020,Kemptnerstrasse ,11,8340,Hinwil,Partyraum,3,54,840
67633,67633,18.02.2020,Zwinghofstr. ,20,8173,Neerach,Maisonette / Duplex,2.5,95,1890
67634,67634,25.02.2020,Rosengartenstrasse ,22,8716,Schmerikon,Wohnung,3.5,90,1560
67635,67635,03.12.2019,Brühlstrasse ,7,5745,Safenwil,Wohnung,3.5,100,1150
67636,67636,02.03.2020,Seestrasse ,13,8805,Richterswil,Lager,-,11,149
67637,67637,14.01.2020,Gerliswilstrasse ,73,6020,Emmenbrücke,Wohnung,4,95,1655
67639,67639,14.01.2020,Carl-Franz-Bally-Strasse ,34,5012,Schönenwerd,Lager,-,200,1400
67640,67640,27.11.2019,Hörnlistrasse ,68,8330,Pfäffikon ZH,Wohnung,4.5,100,2245
67641,67641,18.02.2020,Säntisstrasse ,10,8305,Dietlikon,Wohnung,4.5,115,2740
67642,67642,01.11.2019,Büelgass ,50,8625,Gossau ZH,Wohnung,2.5,60,1900
67645,67645,18.02.2020,Masanserstrasse ,136,7000,Chur,Büro,-,160,180
67648,67648,01.10.2019,Erlenweg ,12,8634,Hombrechtikon,Wohnung,4,75,1561
67649,67649,01.10.2019,Via Santa Maria ,2,6596,Gordola,Wohnung,3.5,76,1300
67650,67650,18.02.2020,Schulstrasse ,14,4628,Wolfwil,Maisonette / Duplex,5,124,1835
67651,67651,18.12.2019,Längfeldweg ,50,2504,Biel/Bienne,Lager,-,340,115
67653,67653,18.02.2020,Langgass ,2,5244,Birrhard,Büro,5,82,1400
67654,67654,11.02.2020,Buchgrindelstrasse ,15,8620,Wetzikon ZH,Atelier,3,140,1795
67656,67656,19.02.2020,Untertor ,5,8400,Winterthur,Büro,-,260,5950
67658,67658,18.02.2020,Bleichestrasse ,34,8400,Winterthur,Büro,2,27,750
67661,67661,18.02.2020,Rütistrasse ,4,8640,Rapperswil SG,Möbliertes Wohnobjekt,1,14,490
67662,67662,09.12.2019,Berikonerstrasse ,5,8966,Oberwil-Lieli,Wohnung,6.5,240,3700
67663,67663,14.03.2020,Engelaustrasse ,25,9010,St. Gallen,Wohnung,4.5,72,1840
67664,67664,18.02.2020,Untere Brühlstrasse ,11,4800,Zofingen,Industrieobjekt,-,100,50
67665,67665,01.10.2019,Pfäffikerstrasse ,36,8610,Uster,Lager,-,236,2693
67668,67668,04.02.2020,Station-Ost ,7,6023,Rothenburg,Gewerbe,-,220,170
67669,67669,07.01.2020,Pfingstweidstrasse ,98,8005,Zürich,Möbliertes Wohnobjekt,1.5,70,3900
67670,67670,20.03.2020,Bachtelstrasse ,39,8636,Wald ZH,Attikawohnung,4,145,2000
67674,67674,10.03.2020,Allmenstrasse ,1,8320,Fehraltorf,Büro,3.5,270,3100
67679,67679,18.02.2020,Anemonenstrasse ,12,5210,Windisch,Wohnung,5,90,2400
67680,67680,18.02.2020,Via Consiglio Mezzano ,31,6644,Orselina,Wohnung,-,110,1470
67682,67682,18.02.2020,Berneggstrasse ,28,9000,St. Gallen,Wohnung,3.5,100,1745
67683,67683,23.09.2019,Via Tesserete ,12,6948,Porza,Einfamilienhaus,4.5,160,2190
67686,67686,06.02.2020,Geelig ,7,5412,Gebenstorf,Wohnung,4,70,1330
67687,67687,12.03.2020,Av de Beaulieu ,32,1004,Lausanne,Ladenfläche,-,40,780
67689,67689,18.02.2020,Aarbergergasse ,56,3011,Bern,Büro,2.5,61,1550
67691,67691,06.09.2019,Fährhüttenstrasse ,13,9477,Trübbach,Werkstatt,2,255,2550
67692,67692,06.02.2020,Schulweg ,16,8913,Ottenbach,Dachwohnung,3.5,123,2210
67695,67695,23.01.2020,Ursprungstrasse ,2,8044,Gockhausen,Wohnung,4.5,135,2876
67696,67696,18.11.2019,Hirschmattstrasse ,8,6003,Luzern,Dachwohnung,4.5,152,3700
67700,67700,18.02.2020,Niederämterstrasse ,54,4657,Dulliken,Wohnung,3.5,58,1120
67701,67701,02.09.2019,Bodenmattstrasse ,12,4614,Hägendorf,Wohnung,3.5,89,1640
67702,67702,31.08.2019,Mühlestrasse ,6,8259,Wagenhausen,Wohnung,3.5,100,1500
67703,67703,25.02.2020,Bühlweg ,4,5605,Dottikon,Wohnung,4,86,1450
67704,67704,19.02.2020,Hellbühlstrasse ,9,6102,Malters,Attikawohnung,3.5,105,1650
67707,67707,05.03.2020,Alte Hedingerstrasse ,31,8910,Affoltern am Albis,Dachwohnung,4.5,101,2300
67708,67708,17.09.2019,Bahnstrasse ,21,8610,Uster,Büro,2,167,1590
67711,67711,18.10.2019,Marchweg ,6,5035,Unterentfelden ,Büro,2,63,1055
67715,67715,18.02.2020,Martinsbergstrasse ,40,5400,Baden,Kellerabteil,-,32,300
67716,67716,18.02.2020,Birmensdorferstrasse ,125,8003,Zürich,Gewerbe,-,307,290
67720,67720,02.03.2020,Via Stefano Franscini ,14,6710,Biasca,Wohnung,3.5,67,1320
67722,67722,26.02.2020,Emil-Staub-Strasse ,3,8708,Männedorf,Dachwohnung,4.5,159,4420
67728,67728,19.03.2020,Speiserslehn ,23,9320,Stachen,Wohnung,4.5,120,1960
67735,67735,06.09.2019,Bürglistrasse ,5,9000,St. Gallen,Möbliertes Wohnobjekt,2.5,60,1850
67736,67736,13.02.2020,Rue du Simplon ,33,1920,Martigny,Wohnung,2.5,56,1235
67744,67744,26.02.2020,rue de la Fontanette ,41,2024,St-Aubin-Sauges,Wohnung,5.5,220,2200
67745,67745,24.12.2019,Bahnhofstrasse ,33,5000,Aarau,Büro,-,448,295
67746,67746,25.01.2020,Langägertenstr. ,31,8125,Zollikerberg,Wohnung,4.5,110,3650
67747,67747,20.02.2020,Im Ahorn ,11,8125,Zollikerberg,Wohnung,4.5,109,2750
67748,67748,25.01.2020,Hofackerstrasse ,26,8953,Dietikon,Wohnung,4,81,1845
67749,67749,20.02.2020,Obere Hofmattstrasse ,6,4227,Büsserach,Wohnung,4,73,1490
67750,67750,20.12.2019,Route Cantonale ,109,1025,St-Sulpice VD,Büro,-,200,280
67751,67751,20.12.2019,Route Cantonale ,109,1025,St-Sulpice VD,Büro,-,435,280
67753,67753,09.03.2020,Chemin Guiguer-de-Prangins ,21,1004,Lausanne,Ladenfläche,-,84,1670
67756,67756,10.03.2020,Säntisstrasse ,6,8305,Dietlikon,Gewerbe,-,236,165
67760,67760,18.02.2020,Aeplistrasse ,3,9008,St. Gallen,Dachwohnung,3.5,78,1270
67761,67761,18.02.2020,Mitteldorfstrasse ,4,5072,Oeschgen,Einzelzimmer,1,10,600
67762,67762,24.01.2020,Chemin des Deux Communes ,8,1226,Thônex,Büro,4.5,100,1550
67763,67763,18.12.2019,Wülflingerstrasse ,118,8408,Winterthur,Kellerabteil,-,25,350
67764,67764,18.02.2020,Zur Stahlgiesserei ,17,8200,Schaffhausen,Loft,2.5,80,1730
67765,67765,18.02.2020,Dorfstrasse ,25,5464,Rümikon AG,Möbliertes Wohnobjekt,-,33,1280
67766,67766,15.01.2020,Höhenweg ,12,4663,Aarburg,Wohnung,3.5,74,1300
67767,67767,18.02.2020,Anemonenstrasse ,12,5210,Windisch,Wohnung,3.5,65,1760
67769,67769,18.02.2020,Hertistrasse ,25,8304,Wallisellen,Büro,-,100,2950
67770,67770,04.01.2020,Alte Bruggerstrasse ,6,5506,Mägenwil,Wohnung,3,67,1350
67771,67771,14.03.2020,Sagendorfstrasse ,17,6376,Emmetten,Dachwohnung,2.5,105,1520
67772,67772,18.03.2020,Oberdorfstrasse ,22,8906,Bonstetten,Wohnung,3.5,96,2050
67774,67774,07.12.2019,Sägeweg ,2,4322,Mumpf,Attikawohnung,4.5,190,2600
67776,67776,04.02.2020,Dorfstrasse ,5,5624,Bünzen,Wohnung,3.5,74,1430
67779,67779,18.02.2020,Etzelstrasse ,37,8634,Hombrechtikon,Lager,-,100,95
67781,67781,16.03.2020,Hauptstrasse ,13,8376,Fischingen,Loft,2,84,1395
67782,67782,17.03.2020,Kreuzstrasse ,3,5735,Pfeffikon LU,Wohnung,4.5,95,1120
67783,67783,14.01.2020,Marktgasse ,173,5080,Laufenburg,Einfamilienhaus,8,175,2280
67784,67784,20.03.2020,Via Cappuccini ,23,6600,Locarno,Maisonette / Duplex,2.5,64,1370
67787,67787,18.02.2020,Stockeren ,14,3253,Schnottwil,Wohnung,-,100,1500
67788,67788,18.02.2020,Ruessenstrasse ,5,6340,Baar,Büro,-,360,600
67789,67789,21.11.2019,Industriestrasse ,30,8112,Otelfingen,Gewerbe,-,795,110
67790,67790,18.02.2020,Sumpfstrasse ,18,6312,Steinhausen,Büro,-,620,210
67791,67791,12.03.2020,Gubelstrasse ,24,6300,Zug,Büro,2,81,11000
67792,67792,22.01.2020,Bahnhofstrasse ,14,8483,Kollbrunn,Wohnung,3.5,80,1340
67793,67793,12.09.2019,Huebwiesenstrasse ,59,8954,Geroldswil,Wohnung,3.5,117,2640
67796,67796,20.02.2020,Rigiweg ,13,6343,Holzhäusern ZG,Büro,1,117,195
67797,67797,11.03.2020,Hohli Gass ,18,8906,Bonstetten,Maisonette / Duplex,4.5,155,2505
67798,67798,27.02.2020,Feldeggstrasse ,6,8152,Glattbrugg,Büro,-,250,100
67799,67799,14.02.2020,Via ai Ronchi ,1,6988,Ponte Tresa,Wohnung,3.5,96,1500
67801,67801,04.03.2020,Rosenbergweg ,2,6004,Luzern,Wohnung,4.5,120,2490
67805,67805,18.03.2020,Mönchaltorferstrasse ,4,8132,Egg b. Zürich,Maisonette / Duplex,4.5,191,3290
67806,67806,13.03.2020,Seestrasse ,13,8805,Richterswil,Wohnung,3.5,90,1995
67808,67808,11.02.2020,via Balbio ,24,6834,Morbio Inferiore,Wohnung,4.5,96,1250
67809,67809,09.11.2019,Zürichstrasse ,125,8600,Dübendorf,Büro,-,360,270
67810,67810,19.02.2020,Brandrietstrasse ,41,8307,Effretikon,Büro,-,145,237
67812,67812,18.12.2019,Trinalischweg ,1,7250,Klosters,Wohnung,3,75,1800
67814,67814,18.02.2020,ZA La Pièce ,1,1180,Rolle,Büro,-,734,12800
67815,67815,27.02.2020,Unterdorfstrasse ,63,8494,Bauma,Gewerbe,-,477,40
67816,67816,07.01.2020, Konstanzerstrasse ,73,8280,Kreuzlingen,Wohnung,1,12,690
67817,67817,16.09.2019,Ebnaterstrasse ,189,9630,Wattwil,Dachwohnung,3.5,80,1190
67818,67818,25.02.2020,Grendelstrasse ,3,5408,Ennetbaden,Möbliertes Wohnobjekt,1.5,35,1690
67822,67822,18.02.2020,Frauenfelderstrasse ,23,8555,Müllheim Dorf,Wohnung,4.5,110,1950
67823,67823,18.02.2020,Toggenburgerstrasse ,14,9500,Wil SG,Wohnung,3.5,80,1620
67824,67824,12.03.2020,Tribschenstrasse ,70,6005,Luzern,Büro,-,212,242
67825,67825,23.11.2019,Neherstieg ,26,8200,Schaffhausen,Terrassenwohnung,4.5,136,2500
67826,67826,12.03.2020,Hauptstrasse ,2,5524,Niederwil AG,Wohnung,3.5,83,1390
67828,67828,18.02.2020,Loostrasse ,13,8803,Rüschlikon,Büro,4.5,145,2850
67829,67829,18.02.2020,Schanzstrasse ,17,8330,Pfäffikon ZH,Büro,-,165,200
67830,67830,17.02.2020,Zinggenstrasse ,115,8217,Wilchingen,Einfamilienhaus,4.5,120,1850
67831,67831,18.02.2020,Gaishausstrasse ,41,9050,Appenzell,Büro,6,122,2000
67833,67833,18.02.2020,Muslistrasse ,7,8820,Wädenswil,Büro,1,100,240
67834,67834,30.08.2019,In der Au ,6,8406,Winterthur,Büro,-,505,145
67835,67835,18.02.2020,Giessenweg ,11,6403,Küssnacht am Rigi,Wohnung,4.5,100,2200
67838,67838,18.02.2020,Aurütelistrasse ,2,8552,Felben-Wellhausen,Atelier,-,144,75
67839,67839,18.02.2020,Friedhofstrasse ,38,4542,Luterbach,Wohnung,4.5,80,1140
67840,67840,09.09.2019,Strada Cantonale ,305,7516,Maloja,Wohnung,3.5,80,1675
67841,67841,16.12.2019,Via Municipio ,23,6927,Agra,Wohnung,5.5,190,2700
67844,67844,22.10.2019,Bergackerstrasse ,100,3066,Stettlen,Einfamilienhaus,5.5,165,4390
67845,67845,26.11.2019,Glärnischstr. ,30,8810,Horgen,Wohnung,4,88,2195
67846,67846,17.03.2020,Via Lavizzari ,12,6830,Chiasso,Wohnung,1.5,26,790
67847,67847,11.03.2020,Oberdorfstrasse ,22,8906,Bonstetten,Dachwohnung,4.5,155,2900
67848,67848,27.02.2020,Tumbelenstrasse ,60,8330,Pfäffikon ZH,Attikawohnung,4.5,200,4600
67849,67849,28.08.2019,Rütistrasse ,41,9050,Appenzell,Ladenfläche,-,119,115
67850,67850,18.02.2020,Sampel ,1,5628,Aristau,Maisonette / Duplex,5,180,1590
67851,67851,22.01.2020,Bellerive ,118,2525,Le Landeron,Maisonette / Duplex,5.5,150,2750
67853,67853,13.12.2019,Bahnhofstrasse ,8,8422,Pfungen,Wohnung,4.5,120,2100
67854,67854,18.02.2020,Konradsweg ,30,8832,Wilen b. Wollerau,Attikawohnung,4.5,72,7990
67857,67857,06.01.2020, Im Baurenacker ,13,8902,Urdorf,Wohnung,3.5,78,2160
67863,67863,21.11.2019,Seedorferstrasse ,54,6460,Altdorf UR,Gewerbe,3,98,1600
67866,67866,18.02.2020,Via Pico ,29,6900,Lugano,Loft,1,93,2100
67867,67867,29.01.2020,via Ronchetto ,2,6925,Gentilino,Attikawohnung,3.5,125,2500
67870,67870,08.10.2019,Bahnhofstrasse ,17,8636,Wald ZH,Wohnung,5.5,165,2300
67871,67871,18.02.2020,Via Tesserete ,45,6900,Massagno,Wohnung,3.5,85,1500
67872,67872,18.02.2020,Kleindorfstrasse ,58,8707,Uetikon am See,Büro,2.5,71,2050
67873,67873,27.01.2020,Holtenstrasse ,8,5722,Gränichen,Wohnung,3,71,1360
67874,67874,27.02.2020,Kirchenfeld ,75,8052,Zürich,Wohnung,2.5,60,2250
