,date,type,adress,price,surface,room
108,07.01.2020,Büro,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
190 Jahr/m2


","
Fläche
2461 m2
","
Zimmer
-
"
109,10.01.2020,Tiefgarage,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
180 pro Monat


","
Fläche
-
","
Zimmer
-
"
110,25.03.2020,Werbefläche,"

Adresse
Zugerstrasse 15|17
6330 Cham

","

Preis

CHF
83 pro Monat


","
Fläche
-
","
Zimmer
-
"
111,24.01.2020,offener Parkplatz,"

Adresse
Alpenblick 7/9
6330 Cham

","

Preis

CHF
50 pro Monat


","
Fläche
-
","
Zimmer
-
"
112,19.02.2020,Möbliertes Wohnobjekt,"

Adresse
Bahnhofstrasse 2
6330 Cham

","

Preis

CHF
1'500 pro Monat


","
Fläche
15 m2
","
Zimmer
1
"
113,04.12.2019,Gewerbe,"

Adresse
Riedstrasse 8
6330 Cham

","

Preis

CHF
90 Jahr/m2


","
Fläche
700 m2
","
Zimmer
-
"
114,06.04.2020,Tiefgarage,"

Adresse
Sinserstrasse 65|67
6330 Cham

","

Preis

CHF
162 pro Monat


","
Fläche
-
","
Zimmer
-
"
115,04.02.2020,Moto Hallenplatz,"

Adresse
Sinserstr. 59-63
6330 Cham
 
","

Preis

CHF
50 pro Monat


","
Fläche
-
","
Zimmer
-
"
116,24.01.2020,Tiefgarage,"

Adresse
Dorfplatz 2, Einstellhalle
6330 Cham

","

Preis

CHF
160 pro Monat


","
Fläche
-
","
Zimmer
-
"
117,04.02.2020,Tiefgarage,"

Adresse
Sinserstr. 59-63
6330 Cham

","

Preis

CHF
150 pro Monat


","
Fläche
-
","
Zimmer
-
"
118,30.05.2019,Büro,"

Adresse
Sinserstrasse 65
6330 Cham

","

Preis

CHF
1'650 pro Monat


","
Fläche
65 m2
","
Zimmer
1
"
119,25.01.2020,Lager,"

Adresse
Zugerstr. 53
6330 Cham

","

Preis

Auf Anfrage


","
Fläche
190 m2
","
Zimmer
-
"
120,04.02.2020,Moto Hallenplatz,"

Adresse
Sonnegg-/Johannisstr.
6330 Cham

","

Preis

CHF
45 pro Monat


","
Fläche
-
","
Zimmer
-
"
121,04.02.2020,Moto Hallenplatz,"

Adresse
Herrenmattstr. 1-8
6330 Cham

","

Preis

CHF
50 pro Monat


","
Fläche
-
","
Zimmer
-
"
122,07.04.2020,Büro,"

Adresse
Riedstrasse 11/13
6330 Cham

","

Preis

CHF
168 Jahr/m2


","
Fläche
233 m2
","
Zimmer
-
"
123,07.04.2020,Lager,"

Adresse
Riedstrasse 7/9
6330 Cham

","

Preis

CHF
112 Jahr/m2


","
Fläche
224 m2
","
Zimmer
-
"
124,04.12.2019,Ladenfläche,"

Adresse
Zugerstrasse 17
6330 Cham

","

Preis

CHF
380 Jahr/m2


","
Fläche
121 m2
","
Zimmer
-
"
125,18.02.2020,Moto Aussenplatz,"

Adresse
Schellenmattstr. / Pilatusstr.
6330 Cham

","

Preis

CHF
15 pro Monat


","
Fläche
-
","
Zimmer
-
"
