;ID;date;Strasse;Hausnummer;PLZ;Ort;type;Zimmer;Fläche;Preis
4383;4383;17.03.2020;Loretostrasse ;35;4500;Solothurn;Wohnung;2;46;970
4385;4385;17.03.2020;Goliathgasse ;27;9000;St. Gallen;Wohnung;2.5;85;1490
4387;4387;21.03.2020;Rösslimatte ;4;6213;Knutwil;Wohnung;4.5;120;1290
4388;4388;17.03.2020;Jegensdorferstrasse ;9;3309;Zauggenried;Dachwohnung;3.5;70;1190
4389;4389;22.03.2020;Hafenstrasse ;11;8280;Kreuzlingen;Wohnung;3.5;76;1400
4390;4390;17.03.2020;Schützenweg ;29;4242;Laufen;Dachwohnung;4.5;119;2334
4391;4391;17.03.2020;Dorfstrasse ;59;3065;Bolligen;Doppeleinfamilienhaus;5.5;150;2500
4392;4392;22.03.2020;Bahnhofstrasse ;28;8580;Amriswil;Wohnung;3.5;80;1050
4393;4393;17.03.2020;Otmarstrasse ;13;9000;St. Gallen;Wohnung;3.5;;1410
4395;4395;17.03.2020;Bin da Hüscher ;46;7063;Praden;Wohnung;4.5;;1220
4397;4397;18.03.2020;Sonnhaldestrasse ;28;6210;Sursee;Wohnung;4.5;100;1590
4398;4398;17.03.2020;Fabrikstrasse ;34;9478;Azmoos;Wohnung;3.5;65;1150
4400;4400;22.03.2020;Bahnhofstrasse ;;6440;Brunnen;Einzelzimmer;1;13;430
4403;4403;22.03.2020;Mühlestrasse ;;8840;Einsiedeln;Wohnung;4.5;130;2300
4404;4404;17.03.2020;Oststrasse ;16;8570;Weinfelden;Wohnung;4;72;1630
4405;4405;22.03.2020;Rickenbachstrasse ;187;6432;Rickenbach b. Schwyz;Wohnung;4;90;1590
4408;4408;17.03.2020;Seftigenstrasse ;199;3084;Wabern;Wohnung;3;;1850
4410;4410;17.03.2020;Heuteilstrasse ;9;7310;Bad Ragaz;Wohnung;1;22;620
4411;4411;17.03.2020;Cadruvi ;65;7158;Waltensburg/Vuorz;Doppeleinfamilienhaus;4.5;;945
4413;4413;17.03.2020;Baumgarten ;10;6415;Arth;Wohnung;4.5;109;1970
4415;4415;20.03.2020;Güetliweg ;1;8050;Zürich;Wohnung;3.5;;2790
4416;4416;17.03.2020;Chemin des Glycines ;12;1022;Chavannes-près-Renens;Wohnung;2;48;1509
4419;4419;17.03.2020;;;1030;Bussigny;Möbliertes Wohnobjekt;1;22;1563
4420;4420;17.03.2020;;;6900;Paradiso;Wohnung;4.5;115;2950
4421;4421;18.03.2020;Mühlebachstrasse ;50;8008;Zürich;Möbliertes Wohnobjekt;2.5;70;3150
4422;4422;18.03.2020;Mühlebachstrasse ;30;8008;Zürich;Möbliertes Wohnobjekt;2.5;80;3250
4423;4423;17.03.2020;Rue de la Pelouse -;19;1950;Sion;Wohnung;3.5;81;1360
4424;4424;18.03.2020;Eisenbahnweg ;41;4125;Riehen;Wohnung;4.5;106;2590
4425;4425;17.03.2020;Dufaux-Strasse ;33;8152;Glattpark (Opfikon);Wohnung;2.5;67;2190
4426;4426;17.03.2020;Hauptstrasse ;38;8357;Guntershausen b. Aadorf;Wohnung;3.5;92;1430
4427;4427;17.03.2020;Langgasse ;88;9008;St. Gallen;Dachwohnung;3.5;106;1490
4428;4428;17.03.2020;Gartenweg ;;6232;Geuensee;Wohnung;4.5;100;1650
4429;4429;17.03.2020;Rue du Rhône ;57;1204;Genève;Maisonette / Duplex;4;90;3780
4430;4430;17.03.2020;Gewerbestrasse ;25;8155;Niederhasli;Wohnung;5.5;127;2300
4431;4431;17.03.2020;Johannes-Hirt-Strasse ;23;8804;Au ZH;Wohnung;3.5;72;1660
4433;4433;17.03.2020;Rue Aloys-Mooser ;3;1700;Fribourg;Wohnung;3;92;1700
4435;4435;17.03.2020;Chemin de Vassin ;16;1814;La Tour-de-Peilz;Wohnung;3.5;85;2420
4436;4436;17.03.2020;Löwenplatz ;4;8733;Eschenbach SG;Wohnung;2;42;1200
4441;4441;17.03.2020;Micheli Ducrest ;18;1205;Genève;Wohnung;3;55;2240
4442;4442;18.03.2020;Flurweg ;34;3072;Ostermundigen;Wohnung;3;56;1370
4443;4443;17.03.2020;Leuengasse ;50;8142;Uitikon Waldegg;Wohnung;4.5;114;3960
4444;4444;17.03.2020;Rue des Fontaines ;1;1058;Villars-Tiercelin;Wohnung;2.5;83;1280
4445;4445;17.03.2020;Brügglistrasse ;10;4104;Oberwil BL;Einfamilienhaus;6.5;156;4405
4446;4446;17.03.2020;Brauerstrasse ;3;9000;St. Gallen;Wohnung;1.5;32;755
4447;4447;18.03.2020;Dorfstrasse ;;8103;Unterengstringen;Wohnung;4.5;115;2915
4448;4448;17.03.2020;Wässerwiesenstr. ;;8408;Winterthur;Attikawohnung;3.5;94;2101
4449;4449;17.03.2020;Solothurnstrasse ;14;3315;Bätterkinden;Wohnung;2.5;82;1510
4450;4450;17.03.2020;Homburgerstrasse ;46;4052;Basel;Wohnung;3;68;1350
4451;4451;17.03.2020;Rue Pierre-Ardieu ;36;1630;Bulle;Wohnung;2.5;56;1430
4452;4452;17.03.2020;Rue Pierre-Ardieu;;1630;Bulle;Wohnung;2.5;71;1420
4453;4453;17.03.2020;Rue Pierre-Ardieu;;1630;Bulle;Wohnung;3.5;83;1610
4454;4454;17.03.2020;Cornat ;12;2852;Courtételle;Studio;1;15;590
4455;4455;17.03.2020;Klingentalgraben ;29;4057;Basel;Attikawohnung;3.5;107;2220
4456;4456;17.03.2020;Konsumstrasse ;3;9403;Goldach;Wohnung;2.5;52;1390
4457;4457;17.03.2020;Tösstalstrasse ;4;8483;Kollbrunn;Wohnung;3.5;;1350
4458;4458;17.03.2020;Aeussere lange Heid ;20;4142;Münchenstein;Wohnung;3;61;1450
4459;4459;17.03.2020;Chemin de Fleur-de-Lys ;5;1071;Chexbres;Wohnung;3.5;;1890
4460;4460;17.03.2020;Hauptstrasse ;44;4542;Luterbach;Wohnung;3;;1110
4461;4461;17.03.2020;Bahnhofplatz ;;5000;Aarau;Wohnung;2.5;54;1880
4462;4462;18.03.2020;Bahnhofplatz ;;5000;Aarau;Wohnung;1.5;46;1070
4463;4463;18.03.2020;Walter Mittelholzerstrasse ;8;8152;Glattbrugg;Einzelzimmer;1;20;1200
4464;4464;17.03.2020;Tannenweg ;10;5503;Schafisheim;Wohnung;3.5;75;1570
4465;4465;17.03.2020;Buchenrain ;74;8704;Herrliberg;Wohnung;3.5;112;2990
4466;4466;17.03.2020;via In Selva ;17;6600;Locarno;Wohnung;4.5;130;1900
4467;4467;17.03.2020;Tulpenweg ;20;5330;Bad Zurzach;Wohnung;2.5;67;1290
4468;4468;19.03.2020;Rennweg ;14;8001;Zürich;Möbliertes Wohnobjekt;4.5;115;14000
4469;4469;17.03.2020;Gemsgasse ;40;8200;Schaffhausen;Wohnung;4.5;92;1111
4470;4470;17.03.2020;Bollbergstrasse ;6;5600;Lenzburg;Dachwohnung;3.5;130;2840
4472;4472;17.03.2020;Rosentalgässchen ;17;8200;Schaffhausen;Wohnung;3.5;60;1380
4473;4473;17.03.2020;;;1204;Genève;Maisonette / Duplex;3.5;;3400
4474;4474;17.03.2020;Tulpenweg ;20;5330;Bad Zurzach;Wohnung;2.5;70;1390
4475;4475;17.03.2020;Lindenstrasse ;39;9000;St. Gallen;Wohnung;2;42;1190
4476;4476;17.03.2020;Schönausstrasse ;77;9000;St. Gallen;Wohnung;4;;1290
4477;4477;17.03.2020;Brauerstrasse ;5;9000;St. Gallen;Wohnung;2.5;60;950
4478;4478;17.03.2020;Lindenstrasse ;39;9000;St. Gallen;Wohnung;3.5;75;1490
4479;4479;20.03.2020;Kastanienweg ;20;4562;Biberist;Wohnung;5.5;173;2150
4480;4480;17.03.2020;Chamblandes ;27;1009;Pully;Wohnung;2.5;67;2760
4481;4481;17.03.2020;Schürmattstrasse ;17;6331;Hünenberg;Wohnung;5.5;162;4280
4482;4482;17.03.2020;Thannerstrasse ;55;4054;Basel;Wohnung;2;40;956
