,PLZ,Kanton
770,3205,Bern
771,3206,Bern
775,3202,Bern
776,3208,Bern
777,3210,Bern
778,3179,Bern
781,3203,Bern
782,3204,Bern
784,1797,Bern
786,3176,Bern
790,2744,Bern
792,2747,Bern
794,2738,Bern
795,2746,Bern
797,4716,Bern
798,2743,Bern
799,2745,Bern
801,2740,Bern
803,2742,Bern
804,2748,Bern
805,2710,Bern
808,2762,Bern
809,2712,Bern
810,2713,Bern
814,2827,Bern
816,2736,Bern
819,2717,Bern
821,2715,Bern
822,2716,Bern
825,2733,Bern
827,2514,Bern
828,2520,Bern
829,2523,Bern
830,2518,Bern
833,2515,Bern
834,2516,Bern
835,2517,Bern
837,2558,Bern
838,2562,Bern
839,2563,Bern
840,2564,Bern
843,2552,Bern
844,2555,Bern
845,3274,Bern
846,3272,Bern
849,2565,Bern
851,2513,Bern
854,2572,Bern
855,2560,Bern
860,2553,Bern
861,2556,Bern
870,2512,Bern
874,3763,Bern
875,3764,Bern
876,3753,Bern
877,3754,Bern
878,3755,Bern
879,3756,Bern
880,3757,Bern
882,3758,Bern
883,3762,Bern
885,3765,Bern
886,3766,Bern
887,3647,Bern
888,3645,Bern
889,3646,Bern
890,3700,Bern
893,3705,Bern
895,3752,Bern
896,3631,Bern
897,3632,Bern
898,3864,Bern
899,6083,Bern
900,6084,Bern
901,6085,Bern
902,6086,Bern
903,3862,Bern
904,3863,Bern
906,3857,Bern
907,3860,Bern
909,1657,Bern
911,3770,Bern
912,3773,Bern
913,3775,Bern
914,3772,Bern
917,3771,Bern
918,3776,Bern
919,3777,Bern
920,3784,Bern
921,3785,Bern
922,3782,Bern
925,3778,Bern
926,3780,Bern
927,3781,Bern
928,3783,Bern
929,3792,Bern
930,1738,Bern
931,3150,Bern
932,3156,Bern
933,3157,Bern
934,3158,Bern
935,3159,Bern
937,3099,Bern
938,3152,Bern
939,3153,Bern
940,3154,Bern
943,3148,Bern
948,3183,Bern
950,3115,Bern
952,3123,Bern
953,3124,Bern
954,3125,Bern
955,3664,Bern
956,3665,Bern
958,3663,Bern
961,3126,Bern
965,3116,Bern
969,3128,Bern
970,3127,Bern
974,3087,Bern
976,3132,Bern
977,3155,Bern
980,3088,Bern
981,3089,Bern
988,3662,Bern
991,3628,Bern
997,3536,Bern
998,3537,Bern
999,3550,Bern
1000,3618,Bern
1001,6197,Bern
1002,3535,Bern
1003,3543,Bern
1005,3551,Bern
1006,3552,Bern
1007,3553,Bern
1008,3555,Bern
1010,3436,Bern
1011,3438,Bern
1023,3437,Bern
1025,3439,Bern
1026,3453,Bern
1034,3556,Bern
1035,3557,Bern
1039,3633,Bern
1040,3638,Bern
1041,3614,Bern
1045,3616,Bern
1046,3619,Bern
1048,3612,Bern
1049,3617,Bern
1050,3625,Bern
1051,3613,Bern
1052,3627,Bern
1054,3600,Bern
1056,3626,Bern
1057,3652,Bern
1058,3622,Bern
1059,3624,Bern
1061,3623,Bern
1063,3653,Bern
1064,3654,Bern
1073,3655,Bern
1074,3656,Bern
1075,3657,Bern
1076,3658,Bern
1083,3634,Bern
1084,3635,Bern
1085,3636,Bern
1087,3603,Bern
1088,3604,Bern
1089,3608,Bern
1096,3661,Bern
1107,3462,Bern
1108,3463,Bern
1112,3465,Bern
1114,4952,Bern
1116,4950,Bern
1118,4953,Bern
1126,3435,Bern
1128,3452,Bern
1130,3454,Bern
1131,3456,Bern
1134,3417,Bern
1139,3455,Bern
1140,3457,Bern
1143,4954,Bern
1154,4536,Bern
1155,3376,Bern
1156,3366,Bern
1157,4539,Bern
1159,3372,Bern
1160,3373,Bern
1161,3360,Bern
1162,3363,Bern
1163,3375,Bern
1164,4704,Bern
1165,3362,Bern
1166,4556,Bern
1167,4538,Bern
1168,3367,Bern
1169,3476,Bern
1171,3365,Bern
1173,3475,Bern
1178,3380,Bern
1179,3377,Bern
1182,3374,Bern
1184,4537,Bern
1187,6110,Luzern
1188,6112,Luzern
1189,6105,Luzern
1191,6162,Luzern
1192,6163,Luzern
1193,6166,Luzern
1194,6170,Luzern
1195,6173,Luzern
1196,6174,Luzern
1197,6192,Luzern
1203,6113,Luzern
1205,6167,Luzern
1209,6106,Luzern
1214,6182,Luzern
1216,6196,Luzern
1218,6287,Luzern
1219,6286,Luzern
1220,6034,Luzern
1221,6274,Luzern
1222,6275,Luzern
1223,6020,Luzern
1224,6023,Luzern
1225,6032,Luzern
1226,6206,Luzern
1227,6294,Luzern
1228,6026,Luzern
1231,6284,Luzern
1232,6285,Luzern
1233,6288,Luzern
1234,6289,Luzern
1235,6295,Luzern
1238,6280,Luzern
1239,6283,Luzern
1241,6276,Luzern
1242,6277,Luzern
1246,6038,Luzern
1249,6027,Luzern
1250,6028,Luzern
1258,6030,Luzern
1259,6043,Luzern
1261,6033,Luzern
1262,6035,Luzern
1263,6036,Luzern
1264,6004,Luzern
1265,6006,Luzern
1270,6353,Luzern
1271,6404,Luzern
1273,6005,Luzern
1274,6047,Luzern
1275,6048,Luzern
1276,6052,Luzern
1278,6010,Luzern
1279,6012,Luzern
1280,6013,Luzern
1282,6000,Luzern
1283,6003,Luzern
1287,6014,Luzern
1288,6015,Luzern
1289,6016,Luzern
1293,6019,Luzern
1294,6102,Luzern
1296,6045,Luzern
1297,6344,Luzern
1299,6037,Luzern
1301,6039,Luzern
1302,6044,Luzern
1304,6103,Luzern
1306,6354,Luzern
1307,6356,Luzern
1311,6025,Luzern
1313,6215,Luzern
1314,6221,Luzern
1315,6222,Luzern
1316,6233,Luzern
1317,6018,Luzern
1318,6022,Luzern
1319,6205,Luzern
1320,6214,Luzern
1321,6232,Luzern
1323,6024,Luzern
1324,6212,Luzern
1325,6213,Luzern
1326,6210,Luzern
1328,6216,Luzern
1329,6242,Luzern
1332,6203,Luzern
1333,6204,Luzern
1335,6207,Luzern
1339,6208,Luzern
1342,5735,Luzern
1345,6017,Luzern
1356,6231,Luzern
1360,6234,Luzern
1361,6235,Luzern
1362,6236,Luzern
1364,6114,Luzern
1365,6122,Luzern
1366,6248,Luzern
1368,6244,Luzern
1369,6246,Luzern
1370,6263,Luzern
1371,6211,Luzern
1374,6252,Luzern
1375,6253,Luzern
1376,6260,Luzern
1377,6144,Luzern
1379,6245,Luzern
1380,6247,Luzern
1381,6243,Luzern
1383,6217,Luzern
1384,6218,Luzern
1385,6145,Luzern
1386,6152,Luzern
1387,6142,Luzern
1388,6143,Luzern
1392,6125,Luzern
1393,6130,Luzern
1394,6132,Luzern
1395,6133,Luzern
1396,6156,Luzern
1398,6153,Luzern
1399,6154,Luzern
1403,6123,Luzern
1407,4915,Luzern
1409,6264,Luzern
1410,6265,Luzern
1413,6262,Luzern
1422,4806,Luzern
1429,6126,Luzern
1437,6460,Uri
1438,6490,Uri
1439,6390,Uri
1440,6468,Uri
1441,6466,Uri
1442,6436,Uri
1444,6463,Uri
1445,6464,Uri
1446,6469,Uri
1447,6472,Uri
1448,6454,Uri
1450,6487,Uri
1451,6473,Uri
1452,6474,Uri
1453,6476,Uri
1454,6482,Uri
1455,6493,Uri
1456,6461,Uri
1457,6491,Uri
1458,6467,Uri
1460,6462,Uri
1461,6377,Uri
1462,6441,Uri
1466,6475,Uri
1468,6452,Uri
1470,8751,Uri
1472,6465,Uri
1473,6484,Uri
1474,6485,Uri
1475,8836,Schwyz
1476,8840,Schwyz
1477,8841,Schwyz
1478,8844,Schwyz
1479,8846,Schwyz
1480,8847,Schwyz
1482,6410,Schwyz
1483,6442,Schwyz
1484,8832,Schwyz
1485,8834,Schwyz
1486,8835,Schwyz
1489,8640,Schwyz
1490,8806,Schwyz
1491,8807,Schwyz
1492,8808,Schwyz
1498,6402,Schwyz
1499,6403,Schwyz
1500,6405,Schwyz
1502,8852,Schwyz
1503,8853,Schwyz
1504,8854,Schwyz
1505,8858,Schwyz
1507,8864,Schwyz
1509,8855,Schwyz
1510,8862,Schwyz
1511,8863,Schwyz
1512,8730,Schwyz
1514,8856,Schwyz
1515,8857,Schwyz
1519,6430,Schwyz
1520,6432,Schwyz
1521,8849,Schwyz
1522,6318,Schwyz
1525,6414,Schwyz
1526,6415,Schwyz
1527,6416,Schwyz
1528,6434,Schwyz
1529,6423,Schwyz
1530,6440,Schwyz
1531,6424,Schwyz
1532,6433,Schwyz
1534,6443,Schwyz
1538,8750,Schwyz
1539,8842,Schwyz
1540,8843,Schwyz
1542,6418,Schwyz
1543,6315,Schwyz
1544,6417,Schwyz
1546,6422,Schwyz
1551,6438,Schwyz
1559,8845,Schwyz
1561,6053,Obwalden
1562,6055,Obwalden
1563,6388,Obwalden
1565,6074,Obwalden
