,PLZ,Kanton
2153,4148,Basel-Landschaft
2156,4124,Basel-Landschaft
2157,4106,Basel-Landschaft
2159,4223,Basel-Landschaft
2160,4225,Basel-Landschaft
2161,4242,Basel-Landschaft
2162,4117,Basel-Landschaft
2163,4243,Basel-Landschaft
2165,4203,Basel-Landschaft
2167,4246,Basel-Landschaft
2170,4254,Basel-Landschaft
2171,4224,Basel-Landschaft
2174,4244,Basel-Landschaft
2176,4222,Basel-Landschaft
2178,4305,Basel-Landschaft
2179,4422,Basel-Landschaft
2181,4302,Basel-Landschaft
2182,4303,Basel-Landschaft
2183,4410,Basel-Landschaft
2184,4416,Basel-Landschaft
2186,4402,Basel-Landschaft
2187,4414,Basel-Landschaft
2189,4304,Basel-Landschaft
2190,4423,Basel-Landschaft
2191,4415,Basel-Landschaft
2192,4452,Basel-Landschaft
2196,4419,Basel-Landschaft
2200,4433,Basel-Landschaft
2201,4411,Basel-Landschaft
2203,4417,Basel-Landschaft
2204,4469,Basel-Landschaft
2205,4450,Basel-Landschaft
2206,4461,Basel-Landschaft
2207,4444,Basel-Landschaft
2208,4445,Basel-Landschaft
2209,4446,Basel-Landschaft
2210,4447,Basel-Landschaft
2211,4462,Basel-Landschaft
2212,4463,Basel-Landschaft
2213,4442,Basel-Landschaft
2215,4460,Basel-Landschaft
2217,4448,Basel-Landschaft
2218,4465,Basel-Landschaft
2219,4466,Basel-Landschaft
2223,4493,Basel-Landschaft
2224,4496,Basel-Landschaft
2227,4458,Basel-Landschaft
2229,4451,Basel-Landschaft
2230,4464,Basel-Landschaft
2231,4453,Basel-Landschaft
2232,4494,Basel-Landschaft
2237,4467,Basel-Landschaft
2239,4497,Basel-Landschaft
2241,4492,Basel-Landschaft
2242,4443,Basel-Landschaft
2243,4456,Basel-Landschaft
2244,4441,Basel-Landschaft
2247,4495,Basel-Landschaft
2253,4455,Basel-Landschaft
2254,4424,Basel-Landschaft
2255,4425,Basel-Landschaft
2256,4431,Basel-Landschaft
2257,4434,Basel-Landschaft
2258,4457,Basel-Landschaft
2259,4207,Basel-Landschaft
2267,4432,Basel-Landschaft
2271,4426,Basel-Landschaft
2273,4436,Basel-Landschaft
2276,4435,Basel-Landschaft
2280,4437,Basel-Landschaft
2286,8214,Schaffhausen
2287,8225,Schaffhausen
2288,8226,Schaffhausen
2289,8224,Schaffhausen
2290,8213,Schaffhausen
2291,8217,Schaffhausen
2292,8223,Schaffhausen
2294,8236,Schaffhausen
2295,8239,Schaffhausen
2296,8235,Schaffhausen
2297,8234,Schaffhausen
2299,8240,Schaffhausen
2300,8241,Schaffhausen
2301,8242,Schaffhausen
2302,8243,Schaffhausen
2303,8233,Schaffhausen
2304,8222,Schaffhausen
2306,8454,Schaffhausen
2307,8232,Schaffhausen
2308,8200,Schaffhausen
2310,8455,Schaffhausen
2312,8203,Schaffhausen
2313,8207,Schaffhausen
2314,8208,Schaffhausen
2317,8231,Schaffhausen
2319,8228,Schaffhausen
2322,8263,Schaffhausen
2323,8261,Schaffhausen
2324,8262,Schaffhausen
2325,8260,Schaffhausen
2326,8215,Schaffhausen
2327,8216,Schaffhausen
2329,8219,Schaffhausen
2331,8218,Schaffhausen
2332,9100,Appenzell Ausserrhoden
2333,9112,Appenzell Ausserrhoden
2334,9527,Appenzell Ausserrhoden
2335,9063,Appenzell Ausserrhoden
2336,9064,Appenzell Ausserrhoden
2337,9107,Appenzell Ausserrhoden
2338,9105,Appenzell Ausserrhoden
2341,9103,Appenzell Ausserrhoden
2342,9104,Appenzell Ausserrhoden
2344,9113,Appenzell Ausserrhoden
2345,9014,Appenzell Ausserrhoden
2353,9043,Appenzell Ausserrhoden
2354,9053,Appenzell Ausserrhoden
2355,9055,Appenzell Ausserrhoden
2358,9056,Appenzell Ausserrhoden
2359,9450,Appenzell Ausserrhoden
2360,9037,Appenzell Ausserrhoden
2361,9042,Appenzell Ausserrhoden
2362,9012,Appenzell Ausserrhoden
2364,9052,Appenzell Ausserrhoden
2367,9062,Appenzell Ausserrhoden
2369,9035,Appenzell Ausserrhoden
2370,9038,Appenzell Ausserrhoden
2371,9036,Appenzell Ausserrhoden
2373,9405,Appenzell Ausserrhoden
2374,9410,Appenzell Ausserrhoden
2375,9413,Appenzell Ausserrhoden
2376,9427,Appenzell Ausserrhoden
2378,9426,Appenzell Ausserrhoden
2380,9034,Appenzell Ausserrhoden
2383,9411,Appenzell Ausserrhoden
2384,9437,Appenzell Ausserrhoden
2386,9044,Appenzell Ausserrhoden
2388,9428,Appenzell Ausserrhoden
2390,9425,Appenzell Ausserrhoden
2393,9050,Appenzell Innerrhoden
2396,9108,Appenzell Innerrhoden
2398,9057,Appenzell Innerrhoden
2399,9058,Appenzell Innerrhoden
2400,9467,Appenzell Innerrhoden
2404,9054,Appenzell Innerrhoden
2416,9442,Appenzell Innerrhoden
2418,9308,St. Gallen
2419,9312,St. Gallen
2420,9315,St. Gallen
2421,8580,St. Gallen
2422,9220,St. Gallen
2424,9313,St. Gallen
2425,9000,St. Gallen
2426,9008,St. Gallen
2427,9010,St. Gallen
2428,9011,St. Gallen
2431,9015,St. Gallen
2432,9016,St. Gallen
2433,9030,St. Gallen
2436,9300,St. Gallen
2441,9305,St. Gallen
2442,9306,St. Gallen
2448,9400,St. Gallen
2449,9402,St. Gallen
2450,9403,St. Gallen
2451,9327,St. Gallen
2454,9404,St. Gallen
2456,9422,St. Gallen
2458,9323,St. Gallen
2459,9326,St. Gallen
2461,9033,St. Gallen
2464,9434,St. Gallen
2465,9435,St. Gallen
2467,9436,St. Gallen
2468,9445,St. Gallen
2473,9443,St. Gallen
2474,9444,St. Gallen
2475,9424,St. Gallen
2480,9430,St. Gallen
2483,9423,St. Gallen
2490,9452,St. Gallen
2491,9453,St. Gallen
2492,9463,St. Gallen
2493,9464,St. Gallen
2498,9451,St. Gallen
2499,9462,St. Gallen
2505,9469,St. Gallen
2506,9470,St. Gallen
2508,9473,St. Gallen
2509,9658,St. Gallen
2512,9472,St. Gallen
2514,9465,St. Gallen
2515,9466,St. Gallen
2517,9468,St. Gallen
2521,9475,St. Gallen
2522,9476,St. Gallen
2524,9477,St. Gallen
2525,9478,St. Gallen
2526,9479,St. Gallen
2527,7310,St. Gallen
2528,7317,St. Gallen
2529,8888,St. Gallen
2530,8890,St. Gallen
2531,8892,St. Gallen
2532,8893,St. Gallen
2533,8894,St. Gallen
2534,8895,St. Gallen
2535,8896,St. Gallen
2536,8897,St. Gallen
2537,8898,St. Gallen
2538,7325,St. Gallen
2539,7326,St. Gallen
2540,8886,St. Gallen
2541,8887,St. Gallen
2543,8889,St. Gallen
2544,7312,St. Gallen
2545,7313,St. Gallen
2546,7314,St. Gallen
2547,7315,St. Gallen
2549,8877,St. Gallen
2550,8878,St. Gallen
2551,8882,St. Gallen
2552,8883,St. Gallen
2553,8884,St. Gallen
2554,8885,St. Gallen
2557,7320,St. Gallen
2559,7323,St. Gallen
2560,7324,St. Gallen
2562,8880,St. Gallen
2563,8881,St. Gallen
2569,8873,St. Gallen
2570,8717,St. Gallen
2572,8722,St. Gallen
2573,8737,St. Gallen
2574,8738,St. Gallen
2575,8739,St. Gallen
2576,8718,St. Gallen
2578,8723,St. Gallen
2581,8716,St. Gallen
2588,8645,St. Gallen
2589,8646,St. Gallen
2591,8715,St. Gallen
2592,8734,St. Gallen
2593,8725,St. Gallen
2594,8726,St. Gallen
2601,8638,St. Gallen
2603,8727,St. Gallen
2604,8732,St. Gallen
2605,8733,St. Gallen
2607,8735,St. Gallen
2608,9633,St. Gallen
2609,9642,St. Gallen
2610,9643,St. Gallen
2612,9656,St. Gallen
2613,9657,St. Gallen
2618,9650,St. Gallen
2619,9651,St. Gallen
2620,9652,St. Gallen
2621,9655,St. Gallen
2623,9127,St. Gallen
2625,9620,St. Gallen
2626,9122,St. Gallen
2627,9125,St. Gallen
2628,9126,St. Gallen
2630,9621,St. Gallen
2634,9114,St. Gallen
2635,9115,St. Gallen
2636,9116,St. Gallen
2638,9123,St. Gallen
2643,9630,St. Gallen
2645,9615,St. Gallen
2647,9622,St. Gallen
2649,9631,St. Gallen
2652,8376,St. Gallen
2653,9500,St. Gallen
2654,9532,St. Gallen
2655,9533,St. Gallen
2656,9534,St. Gallen
2657,9601,St. Gallen
2658,9602,St. Gallen
2659,9613,St. Gallen
2661,9243,St. Gallen
2664,9604,St. Gallen
2665,9608,St. Gallen
2669,9607,St. Gallen
2670,9612,St. Gallen
2672,9614,St. Gallen
2676,9606,St. Gallen
2684,9230,St. Gallen
2686,9200,St. Gallen
2688,9231,St. Gallen
2689,9242,St. Gallen
2692,9536,St. Gallen
2695,9240,St. Gallen
2697,9244,St. Gallen
2698,9248,St. Gallen
2703,9247,St. Gallen
2704,9249,St. Gallen
2707,9203,St. Gallen
2708,9246,St. Gallen
2709,9223,St. Gallen
2710,9245,St. Gallen
2711,9524,St. Gallen
2712,9525,St. Gallen
2713,9526,St. Gallen
2720,9515,St. Gallen
2721,9523,St. Gallen
2724,9512,St. Gallen
2725,9514,St. Gallen
2728,9543,St. Gallen
2729,9552,St. Gallen
2730,9204,St. Gallen
2731,9212,St. Gallen
2733,9032,St. Gallen
2742,9205,St. Gallen
2743,9213,St. Gallen
2746,9304,St. Gallen
2747,7076,Graubünden
2748,7077,Graubünden
2749,7078,Graubünden
2750,7082,Graubünden
2751,7450,Graubünden
2752,7083,Graubünden
2753,7493,Graubünden
2754,7084,Graubünden
2756,7451,Graubünden
2757,7458,Graubünden
2758,7459,Graubünden
2759,7472,Graubünden
2760,7473,Graubünden
2761,7492,Graubünden
2762,7452,Graubünden
2763,7453,Graubünden
2764,7454,Graubünden
2765,7455,Graubünden
2766,7456,Graubünden
2767,7457,Graubünden
2768,7460,Graubünden
2769,7462,Graubünden
2770,7463,Graubünden
2771,7464,Graubünden
2772,7477,Graubünden
2773,7482,Graubünden
2774,7484,Graubünden
2775,7494,Graubünden
2776,7743,Graubünden
2777,7744,Graubünden
2778,7747,Graubünden
2779,7748,Graubünden
2780,7710,Graubünden
2781,7741,Graubünden
2782,7742,Graubünden
2784,7745,Graubünden
2785,7746,Graubünden
2786,7032,Graubünden
2787,7153,Graubünden
2788,7031,Graubünden
2790,7152,Graubünden
2791,7151,Graubünden
2792,7116,Graubünden
2793,7132,Graubünden
2794,7110,Graubünden
2795,7113,Graubünden
2796,7114,Graubünden
2797,7115,Graubünden
2799,7142,Graubünden
2800,7143,Graubünden
2801,7144,Graubünden
2802,7145,Graubünden
2803,7146,Graubünden
2804,7147,Graubünden
2805,7148,Graubünden
2806,7149,Graubünden
2807,7111,Graubünden
2808,7112,Graubünden
2809,7126,Graubünden
2810,7127,Graubünden
2811,7128,Graubünden
2812,7130,Graubünden
2813,7141,Graubünden
2814,7154,Graubünden
2815,7155,Graubünden
2816,7156,Graubünden
2817,7157,Graubünden
2818,7413,Graubünden
2819,7414,Graubünden
2820,7405,Graubünden
2821,7412,Graubünden
2822,7411,Graubünden
2824,7408,Graubünden
2825,7415,Graubünden
2826,7421,Graubünden
2827,7422,Graubünden
2828,7423,Graubünden
2829,7424,Graubünden
2830,7426,Graubünden
2832,7425,Graubünden
2833,7430,Graubünden
2834,7431,Graubünden
2835,7428,Graubünden
2836,7427,Graubünden
2837,7104,Graubünden
2838,7106,Graubünden
2839,7107,Graubünden
2840,7109,Graubünden
2841,7122,Graubünden
2842,7402,Graubünden
2843,7404,Graubünden
2844,7407,Graubünden
2846,7416,Graubünden
2847,7417,Graubünden
2848,7418,Graubünden
2849,7419,Graubünden
2850,7446,Graubünden
2851,7447,Graubünden
2852,7448,Graubünden
2853,7434,Graubünden
2854,7440,Graubünden
2855,7442,Graubünden
2856,7443,Graubünden
2857,7433,Graubünden
2862,7432,Graubünden
2863,7444,Graubünden
2864,7445,Graubünden
2865,7435,Graubünden
2866,7436,Graubünden
2867,7437,Graubünden
2868,7438,Graubünden
2870,7012,Graubünden
2871,7013,Graubünden
2872,7015,Graubünden
2873,7403,Graubünden
2875,7017,Graubünden
2876,7018,Graubünden
2877,7019,Graubünden
2880,7014,Graubünden
2882,7016,Graubünden
2883,7527,Graubünden
2884,7530,Graubünden
2885,7542,Graubünden
2886,7543,Graubünden
2887,7562,Graubünden
2888,7563,Graubünden
2889,7545,Graubünden
2890,7546,Graubünden
2891,7550,Graubünden
2892,7551,Graubünden
2893,7552,Graubünden
2894,7553,Graubünden
2895,7554,Graubünden
2896,7556,Graubünden
2897,7557,Graubünden
2898,7558,Graubünden
2899,7559,Graubünden
2900,7560,Graubünden
2901,7502,Graubünden
2902,7500,Graubünden
2903,7504,Graubünden
2904,7505,Graubünden
2905,7523,Graubünden
2907,7522,Graubünden
2908,7503,Graubünden
2911,7512,Graubünden
2912,7525,Graubünden
2913,7526,Graubünden
2914,7514,Graubünden
2915,7515,Graubünden
2916,7517,Graubünden
2918,7513,Graubünden
2919,7524,Graubünden
2921,7516,Graubünden
2922,7602,Graubünden
2923,7603,Graubünden
2924,7604,Graubünden
2925,7605,Graubünden
2926,7606,Graubünden
2927,7608,Graubünden
2928,7610,Graubünden
2929,6542,Graubünden
2930,6537,Graubünden
2931,6540,Graubünden
2932,6548,Graubünden
2933,6541,Graubünden
2934,6558,Graubünden
2935,6563,Graubünden
2936,6565,Graubünden
2937,6562,Graubünden
2938,6557,Graubünden
2940,6538,Graubünden
2941,6556,Graubünden
2943,6535,Graubünden
2944,6549,Graubünden
2945,6534,Graubünden
2946,6543,Graubünden
2947,6544,Graubünden
2948,6545,Graubünden
2949,6546,Graubünden
2950,7532,Graubünden
2951,7533,Graubünden
2952,7534,Graubünden
2953,7535,Graubünden
2954,7536,Graubünden
2955,7537,Graubünden
2956,7260,Graubünden
2957,7265,Graubünden
2958,7270,Graubünden
2959,7272,Graubünden
2960,7276,Graubünden
2961,7277,Graubünden
2962,7278,Graubünden
2964,7235,Graubünden
2965,7232,Graubünden
2966,7231,Graubünden
2967,7233,Graubünden
2968,7247,Graubünden
2969,7249,Graubünden
2970,7250,Graubünden
2971,7252,Graubünden
2973,7241,Graubünden
2975,7240,Graubünden
2976,7222,Graubünden
2977,7223,Graubünden
2978,7224,Graubünden
2979,7226,Graubünden
2981,7242,Graubünden
2982,7243,Graubünden
2983,7244,Graubünden
2984,7245,Graubünden
2985,7246,Graubünden
2986,7000,Graubünden
2988,7062,Graubünden
2989,7074,Graubünden
2990,7075,Graubünden
2992,7027,Graubünden
2993,7028,Graubünden
2994,7029,Graubünden
2995,7050,Graubünden
2996,7056,Graubünden
2997,7057,Graubünden
2998,7058,Graubünden
3000,7026,Graubünden
3001,7063,Graubünden
3002,7064,Graubünden
3003,7023,Graubünden
3004,7202,Graubünden
3005,7203,Graubünden
3006,7204,Graubünden
3007,7205,Graubünden
3008,7302,Graubünden
3009,7304,Graubünden
3010,7306,Graubünden
3011,7307,Graubünden
3014,7208,Graubünden
3016,7206,Graubünden
3018,7303,Graubünden
3020,7213,Graubünden
3021,7214,Graubünden
3022,7215,Graubünden
3023,7220,Graubünden
3026,7228,Graubünden
3027,7212,Graubünden
3029,7134,Graubünden
3030,7158,Graubünden
3031,7159,Graubünden
3032,7162,Graubünden
3033,7163,Graubünden
3034,7164,Graubünden
3035,7165,Graubünden
3036,7180,Graubünden
3037,7182,Graubünden
3038,7183,Graubünden
3039,7186,Graubünden
3040,7184,Graubünden
3041,7185,Graubünden
3042,7172,Graubünden
3043,7173,Graubünden
3044,7174,Graubünden
3045,7175,Graubünden
3046,7176,Graubünden
3048,7187,Graubünden
3049,7188,Graubünden
3050,7189,Graubünden
3051,7166,Graubünden
3052,7167,Graubünden
3053,7168,Graubünden
3056,7137,Graubünden
3057,7138,Graubünden
3058,5000,Aargau
3059,5004,Aargau
3060,5032,Aargau
3061,5023,Aargau
3062,5033,Aargau
3063,5025,Aargau
3064,5026,Aargau
3066,5018,Aargau
3067,5722,Aargau
3068,5723,Aargau
3069,5042,Aargau
3070,5022,Aargau
3071,5024,Aargau
3072,5037,Aargau
3073,5036,Aargau
3075,5034,Aargau
3076,5035,Aargau
3077,5400,Aargau
3078,5404,Aargau
3079,5405,Aargau
3080,5406,Aargau
3081,5454,Aargau
3082,8967,Aargau
3083,8962,Aargau
3086,5413,Aargau
3087,5408,Aargau
3089,5442,Aargau
3090,5423,Aargau
3091,5412,Aargau
3092,8956,Aargau
3093,5444,Aargau
3094,5506,Aargau
3095,5507,Aargau
3096,5432,Aargau
3097,5443,Aargau
3098,5452,Aargau
3099,5415,Aargau
3100,5416,Aargau
3101,5453,Aargau
3103,8957,Aargau
3104,5608,Aargau
3105,5300,Aargau
3107,5301,Aargau
3109,5417,Aargau
3110,5430,Aargau
3112,5512,Aargau
3113,5303,Aargau
3114,5436,Aargau
3115,8109,Aargau
3116,5420,Aargau
3117,8905,Aargau
3118,8964,Aargau
3119,8965,Aargau
3120,5620,Aargau
3121,5626,Aargau
3122,5619,Aargau
3123,5605,Aargau
3124,5445,Aargau
3125,5525,Aargau
3126,5522,Aargau
3127,5607,Aargau
3128,8916,Aargau
3129,5524,Aargau
3130,8917,Aargau
3131,8966,Aargau
3133,5614,Aargau
3134,5618,Aargau
3137,8918,Aargau
3139,5610,Aargau
3140,5611,Aargau
3141,5612,Aargau
3142,5613,Aargau
3146,5621,Aargau
3148,5105,Aargau
3149,5242,Aargau
3150,5244,Aargau
3151,5076,Aargau
3152,5200,Aargau
3153,5210,Aargau
3154,5222,Aargau
3155,5078,Aargau
3156,5077,Aargau
3157,5245,Aargau
3159,5212,Aargau
3161,5246,Aargau
3162,5318,Aargau
3164,5237,Aargau
3165,5243,Aargau
3166,5236,Aargau
3167,5223,Aargau
3169,5235,Aargau
3170,5116,Aargau
3171,5112,Aargau
3172,5106,Aargau
3173,5233,Aargau
3174,5234,Aargau
3175,5213,Aargau
3178,5225,Aargau
3181,5107,Aargau
3182,5108,Aargau
3183,5712,Aargau
3184,5708,Aargau
3185,5736,Aargau
3186,5724,Aargau
3187,5726,Aargau
3188,5046,Aargau
3189,5728,Aargau
3190,5043,Aargau
3191,5733,Aargau
3192,5725,Aargau
3193,5737,Aargau
3194,5727,Aargau
3195,5734,Aargau
3196,5044,Aargau
3198,5040,Aargau
3204,5732,Aargau
3205,4334,Aargau
3206,5074,Aargau
3207,5070,Aargau
3208,5272,Aargau
3209,5063,Aargau
3210,5073,Aargau
3211,5027,Aargau
3212,5075,Aargau
3213,5080,Aargau
3214,5082,Aargau
3215,5083,Aargau
3217,5084,Aargau
3218,5085,Aargau
3219,4333,Aargau
3220,5062,Aargau
3221,5072,Aargau
3222,5326,Aargau
3224,5028,Aargau
3225,5064,Aargau
3227,5079,Aargau
3228,5273,Aargau
3229,5274,Aargau
3230,5275,Aargau
3231,5276,Aargau
3232,5277,Aargau
3234,5600,Aargau
3235,5706,Aargau
3237,5505,Aargau
3238,5606,Aargau
3239,5703,Aargau
3240,5704,Aargau
3241,5615,Aargau
3242,5705,Aargau
3244,5604,Aargau
3245,5113,Aargau
3246,5502,Aargau
3249,5616,Aargau
3250,5617,Aargau
3251,5103,Aargau
3253,5702,Aargau
3254,5504,Aargau
3256,5102,Aargau
3258,5503,Aargau
3259,5707,Aargau
3261,5603,Aargau
3262,5646,Aargau
3263,5628,Aargau
3264,5630,Aargau
3265,5637,Aargau
3267,5643,Aargau
3268,5644,Aargau
3271,5627,Aargau
3273,5632,Aargau
3274,5623,Aargau
3277,5624,Aargau
3280,6042,Aargau
3282,5625,Aargau
3283,5634,Aargau
3284,5636,Aargau
3287,5647,Aargau
3288,8919,Aargau
3290,5645,Aargau
3293,5622,Aargau
3294,4316,Aargau
3298,4312,Aargau
3299,4313,Aargau
3300,4322,Aargau
3301,4324,Aargau
3303,4310,Aargau
3305,4325,Aargau
3306,4332,Aargau
3307,4323,Aargau
3308,4317,Aargau
3309,4314,Aargau
3310,4315,Aargau
3315,4665,Aargau
3316,4813,Aargau
3317,4814,Aargau
3318,4803,Aargau
3319,4805,Aargau
3321,5054,Aargau
3323,5742,Aargau
3326,4856,Aargau
3331,4800,Aargau
3332,5056,Aargau
3333,5057,Aargau
3334,4802,Aargau
3335,4852,Aargau
3336,5745,Aargau
3337,5053,Aargau
3339,4812,Aargau
3343,5058,Aargau
3347,5333,Aargau
3348,5334,Aargau
3349,5314,Aargau
3350,5315,Aargau
3351,5312,Aargau
3352,5304,Aargau
3353,5305,Aargau
3354,5467,Aargau
3355,5324,Aargau
3356,5466,Aargau
3357,5313,Aargau
3358,5322,Aargau
3360,5325,Aargau
3361,5426,Aargau
3362,5316,Aargau
3363,5317,Aargau
3364,5465,Aargau
3365,5332,Aargau
3366,5323,Aargau
3367,5464,Aargau
3368,5425,Aargau
3370,5306,Aargau
3371,5463,Aargau
3372,5330,Aargau
3373,9320,Thurgau
3374,8582,Thurgau
3375,9314,Thurgau
3377,9322,Thurgau
3381,8593,Thurgau
3385,9325,Thurgau
3386,8590,Thurgau
3388,8599,Thurgau
3392,8592,Thurgau
3394,8581,Thurgau
3395,8587,Thurgau
3398,8586,Thurgau
3399,9216,Thurgau
3402,9225,Thurgau
3404,8577,Thurgau
3405,9214,Thurgau
3406,9215,Thurgau
3407,9217,Thurgau
3408,8583,Thurgau
3410,8588,Thurgau
3411,8589,Thurgau
3414,8254,Thurgau
3415,8255,Thurgau
3417,8252,Thurgau
3418,8253,Thurgau
3421,8356,Thurgau
3422,8357,Thurgau
3423,8522,Thurgau
3424,9547,Thurgau
3426,8552,Thurgau
3429,9548,Thurgau
3432,8547,Thurgau
3433,8553,Thurgau
3437,8526,Thurgau
3438,9507,Thurgau
3441,8512,Thurgau
3442,8524,Thurgau
3443,8532,Thurgau
3444,8536,Thurgau
3445,8595,Thurgau
3446,8280,Thurgau
3447,8598,Thurgau
3448,8272,Thurgau
3449,8273,Thurgau
3450,8274,Thurgau
3451,8594,Thurgau
3452,8565,Thurgau
3453,8566,Thurgau
3454,8573,Thurgau
3457,8585,Thurgau
3459,8574,Thurgau
3460,8596,Thurgau
3461,8597,Thurgau
3464,8558,Thurgau
3465,8564,Thurgau
3466,8514,Thurgau
3467,9555,Thurgau
3468,9556,Thurgau
3469,9562,Thurgau
3470,9553,Thurgau
3471,8362,Thurgau
3473,9502,Thurgau
3474,8360,Thurgau
3475,8370,Thurgau
3476,8372,Thurgau
3477,8374,Thurgau
3481,9506,Thurgau
3482,9508,Thurgau
3485,9542,Thurgau
3488,9535,Thurgau
3492,8371,Thurgau
3494,9573,Thurgau
3495,9554,Thurgau
3497,9545,Thurgau
3498,9546,Thurgau
3502,8267,Thurgau
3503,8264,Thurgau
3504,8506,Thurgau
3506,8535,Thurgau
3508,8507,Thurgau
3509,8508,Thurgau
3512,8537,Thurgau
3514,8265,Thurgau
3516,8555,Thurgau
3517,8505,Thurgau
3520,8268,Thurgau
3521,8269,Thurgau
3522,8266,Thurgau
3523,8259,Thurgau
3525,8554,Thurgau
3526,8570,Thurgau
3527,8572,Thurgau
3528,8576,Thurgau
3529,8584,Thurgau
3532,8575,Thurgau
3535,9503,Thurgau
3536,9504,Thurgau
3537,9517,Thurgau
3539,9565,Thurgau
3540,8560,Thurgau
3541,8561,Thurgau
3545,8556,Thurgau
3548,6517,Tessin
3549,6532,Tessin
3550,6500,Tessin
3551,6503,Tessin
3552,6512,Tessin
3553,6513,Tessin
3554,6514,Tessin
3555,6515,Tessin
3556,6518,Tessin
3557,6523,Tessin
3558,6524,Tessin
3559,6525,Tessin
3560,6528,Tessin
3562,6582,Tessin
3563,6583,Tessin
3564,6584,Tessin
3565,6592,Tessin
3566,6702,Tessin
3568,6593,Tessin
3569,6599,Tessin
3570,6810,Tessin
3572,6533,Tessin
3577,6715,Tessin
3578,6716,Tessin
3579,6721,Tessin
3580,6722,Tessin
3581,6723,Tessin
3582,6724,Tessin
3583,6717,Tessin
3584,6718,Tessin
3585,6719,Tessin
3586,6720,Tessin
3587,6713,Tessin
3588,6714,Tessin
3590,6780,Tessin
3591,6781,Tessin
3592,6743,Tessin
3593,6774,Tessin
3594,6746,Tessin
3595,6747,Tessin
3596,6748,Tessin
3597,6749,Tessin
3598,6760,Tessin
3599,6763,Tessin
3600,6764,Tessin
3601,6745,Tessin
3602,6744,Tessin
3603,6742,Tessin
3604,6772,Tessin
3605,6773,Tessin
3606,6775,Tessin
3607,6776,Tessin
3608,6777,Tessin
3609,6612,Tessin
3610,6618,Tessin
3611,6634,Tessin
3612,6645,Tessin
3613,6646,Tessin
3614,6614,Tessin
3615,6631,Tessin
3616,6636,Tessin
3617,6596,Tessin
3618,6595,Tessin
3619,6633,Tessin
3620,6516,Tessin
3621,6572,Tessin
3622,6594,Tessin
3625,6600,Tessin
3626,6605,Tessin
3628,6644,Tessin
3629,6652,Tessin
3630,6616,Tessin
3632,6647,Tessin
3633,6598,Tessin
3637,6648,Tessin
3642,6613,Tessin
3643,6622,Tessin
3644,6637,Tessin
3647,6632,Tessin
3648,6611,Tessin
3649,6655,Tessin
3650,6661,Tessin
3651,6662,Tessin
3652,6663,Tessin
3653,6664,Tessin
3657,6597,Tessin
3658,6635,Tessin
3659,6934,Tessin
3660,6982,Tessin
3661,6990,Tessin
3662,6994,Tessin
3663,6822,Tessin
3664,6823,Tessin
3665,6999,Tessin
3666,6930,Tessin
3667,6981,Tessin
3668,6986,Tessin
3670,6935,Tessin
3672,6992,Tessin
3673,6993,Tessin
3674,6816,Tessin
3675,6827,Tessin
3676,6867,Tessin
3677,6936,Tessin
3679,6814,Tessin
3680,6952,Tessin
3681,6987,Tessin
3682,6944,Tessin
3683,6949,Tessin
3684,6980,Tessin
3686,6989,Tessin
3687,6995,Tessin
3691,6916,Tessin
3692,6929,Tessin
3693,6807,Tessin
3697,6900,Tessin
3698,6912,Tessin
3699,6913,Tessin
3700,6914,Tessin
3701,6915,Tessin
3703,6917,Tessin
3704,6918,Tessin
3705,6925,Tessin
3706,6932,Tessin
3707,6951,Tessin
3708,6959,Tessin
3709,6962,Tessin
3710,6963,Tessin
3711,6964,Tessin
3712,6965,Tessin
3713,6966,Tessin
3714,6967,Tessin
3715,6968,Tessin
3716,6974,Tessin
3717,6976,Tessin
3718,6977,Tessin
3719,6978,Tessin
3720,6979,Tessin
3721,6983,Tessin
3722,6928,Tessin
3724,6817,Tessin
3726,6818,Tessin
3727,6815,Tessin
3728,6805,Tessin
3730,6998,Tessin
3731,6922,Tessin
3732,6933,Tessin
3734,6991,Tessin
3737,6945,Tessin
3740,6946,Tessin
3741,6988,Tessin
3742,6942,Tessin
3743,6948,Tessin
3744,6984,Tessin
3745,6821,Tessin
3748,6997,Tessin
3749,6924,Tessin
3751,6947,Tessin
3752,6950,Tessin
3753,6953,Tessin
3754,6954,Tessin
3755,6955,Tessin
3756,6956,Tessin
3757,6957,Tessin
3758,6958,Tessin
3760,6960,Tessin
3762,6808,Tessin
3764,6943,Tessin
3765,6921,Tessin
3767,6919,Tessin
3769,6926,Tessin
3770,6927,Tessin
3771,6937,Tessin
3772,6938,Tessin
3773,6939,Tessin
3774,6802,Tessin
3775,6803,Tessin
3776,6804,Tessin
3777,6806,Tessin
3778,6809,Tessin
3779,6828,Tessin
3780,6830,Tessin
3781,6825,Tessin
3782,6850,Tessin
3783,6872,Tessin
3784,6873,Tessin
3785,6874,Tessin
3786,6875,Tessin
3787,6877,Tessin
3789,6832,Tessin
3794,6852,Tessin
3795,6853,Tessin
3796,6855,Tessin
3797,6862,Tessin
3798,6863,Tessin
3799,6864,Tessin
3800,6865,Tessin
3801,6866,Tessin
3803,6834,Tessin
3804,6883,Tessin
3805,6826,Tessin
3807,6854,Tessin
3809,6833,Tessin
3810,6835,Tessin
3811,6837,Tessin
3812,6838,Tessin
3813,6839,Tessin
3814,6710,Tessin
3816,6526,Tessin
3817,6527,Tessin
3818,6703,Tessin
