ID,Fläche,Zimmer,Kanton,PLZ,Preis,Durchschnittspreis Wohnung,Preisdifferenz,Preisdifferenz/Zimmer,Durchschnittspreis/m2
535,80,4,Basel-Landschaft,4424,1690,1296,-394,-99,"16,2"
536,75,"3,5",Nidwalden,6052,1750,1193,-557,-159,"15,9"
536,75,"3,5",Luzern,6052,1750,1110,-640,-183,"14,8"
537,172,"5,5",Basel-Landschaft,4123,3500,3027,-473,-86,"17,6"
538,83,"4,5",Nidwalden,6370,2100,1245,-855,-190,15
543,60,"2,5",Zürich,8353,1500,1182,-318,-127,"19,7"
544,78,"3,5",Luzern,6003,1760,1154,-606,-173,"14,8"
548,36,1,Waadt,1530,670,767,97,97,"21,3"
549,126,"5,5",Wallis,1950,1850,1688,-162,-29,"13,4"
550,120,"4,5",Thurgau,8586,1745,1482,-263,-58,"12,35"
551,120,"5,5",Thurgau,8274,1750,1422,-328,-60,"11,85"
553,80,4,Genf,1208,2120,1448,-672,-168,"18,1"
554,64,"2,5",St. Gallen,9400,1250,954,-296,-118,"14,9"
555,102,"4,5",Graubünden,7014,2080,1377,-703,-156,"13,5"
556,102,"4,5",Graubünden,7014,2370,1377,-993,-221,"13,5"
558,55,"2,5",Zürich,8052,1700,1084,-616,-246,"19,7"
559,146,"3,5",St. Gallen,9400,1790,2022,232,66,"13,85"
560,65,"2,5",St. Gallen,9643,700,969,269,108,"14,9"
561,25,1,Bern,3004,690,400,-290,-290,16
562,65,"2,5",Luzern,6032,1410,1047,-363,-145,"16,1"
563,83,"3,5",Luzern,6032,1710,1228,-482,-138,"14,8"
564,104,"3,5",St. Gallen,9323,1920,1440,-480,-137,"13,85"
567,32,2,Wallis,3920,990,477,-513,-257,"14,9"
568,61,"2,5",Basel-Stadt,4058,979,1068,89,36,"17,5"
569,109,"4,5",Luzern,6005,2450,1542,-908,-202,"14,15"
571,136,"4,5",Glarus,8752,2290,1646,-644,-143,"12,1"
574,80,3,Basel-Landschaft,4123,1670,1336,-334,-111,"16,7"
575,56,3,Basel-Landschaft,4410,1180,935,-245,-82,"16,7"
576,111,"4,5",Basel-Landschaft,4410,2026,1832,-194,-43,"16,5"
577,94,"4,5",Basel-Landschaft,4450,1790,1551,-239,-53,"16,5"
578,65,3,Basel-Landschaft,4414,1172,1086,-86,-29,"16,7"
579,22,1,Basel-Landschaft,4415,415,374,-41,-41,17
580,75,"3,5",Basel-Landschaft,4153,1750,1234,-516,-147,"16,45"
581,91,"4,5",Basel-Landschaft,4450,1645,1502,-143,-32,"16,5"
583,58,"2,5",Basel-Landschaft,4414,1370,980,-390,-156,"16,9"
584,66,3,Basel-Landschaft,4414,1500,1102,-398,-133,"16,7"
587,62,"2,5",Zürich,8050,1970,1221,-749,-300,"19,7"
590,16,1,St. Gallen,9475,490,254,-236,-236,"15,9"
591,90,"4,5",Schwyz,6440,1600,1409,-191,-42,"15,65"
595,125,"4,5",St. Gallen,9435,2040,1631,-409,-91,"13,05"
597,39,"1,5",St. Gallen,9630,770,610,-160,-107,"15,65"
598,65,4,St. Gallen,9000,1390,865,-525,-131,"13,3"
599,63,3,Thurgau,9320,1090,876,-214,-71,"13,9"
600,85,4,St. Gallen,9000,1680,1131,-549,-137,"13,3"
601,90,4,St. Gallen,9000,1690,1197,-493,-123,"13,3"
602,47,2,St. Gallen,9000,1450,724,-726,-363,"15,4"
603,27,1,St. Gallen,9475,880,429,-451,-451,"15,9"
604,85,4,St. Gallen,9008,1290,1131,-159,-40,"13,3"
605,105,"3,5",Thurgau,9322,1480,1402,-78,-22,"13,35"
606,100,"3,5",St. Gallen,9400,1690,1385,-305,-87,"13,85"
608,100,"3,5",St. Gallen,9400,1690,1385,-305,-87,"13,85"
609,98,"4,5",Basel-Landschaft,4102,2200,1617,-583,-130,"16,5"
611,40,2,St. Gallen,9000,1100,616,-484,-242,"15,4"
615,78,"3,5",Waadt,1400,1752,1287,-465,-133,"16,5"
616,93,3,Freiburg,1633,1630,1376,-254,-85,"14,8"
619,60,"2,5",Thurgau,8370,1240,849,-391,-156,"14,15"
621,126,6,Luzern,6182,1850,1789,-61,-10,"14,2"
623,80,"2,5",Aargau,5607,1445,1244,-201,-80,"15,55"
626,100,"3,5",Zürich,8803,3875,1810,-2065,-590,"18,1"
628,120,"3,5",Neuchâtel,2300,1500,1434,-66,-19,"11,95"
629,114,"4,5",St. Gallen,9107,1430,1488,58,13,"13,05"
629,114,"4,5",Appenzell Innerrhoden,9107,1430,1459,29,6,"12,8"
629,114,"4,5",Appenzell Ausserrhoden,9107,1430,1397,-33,-7,"12,25"
630,50,"2,5",Basel-Landschaft,4242,1140,845,-295,-118,"16,9"
631,18,1,Zürich,8156,870,392,-478,-478,"21,8"
632,50,2,Basel-Landschaft,4242,1150,855,-295,-148,"17,1"
633,126,"5,5",Luzern,6182,1750,1783,33,6,"14,15"
634,75,"2,5",Schwyz,8855,1600,1279,-321,-128,"17,05"
635,75,3,Basel-Landschaft,4242,1590,1253,-337,-112,"16,7"
637,88,4,Zürich,8112,1750,1540,-210,-53,"17,5"
643,77,4,Zürich,8610,1590,1348,-242,-61,"17,5"
661,116,"4,5",Aargau,5600,2440,1653,-787,-175,"14,25"
662,121,"4,5",Zürich,8157,2060,2124,64,14,"17,55"
663,98,"4,5",Zürich,8162,2050,1720,-330,-73,"17,55"
664,60,"2,5",Zürich,8302,1680,1182,-498,-199,"19,7"
665,92,5,Glarus,8752,1550,1058,-492,-98,"11,5"
666,69,"2,5",Zürich,8610,1550,1359,-191,-76,"19,7"
667,109,"4,5",Basel-Landschaft,4203,1940,1799,-141,-31,"16,5"
668,54,2,Solothurn,4143,1140,751,-389,-195,"13,9"
669,56,2,Basel-Stadt,4057,1290,1019,-271,-136,"18,2"
670,63,"3,5",Basel-Landschaft,4127,1610,1036,-574,-164,"16,45"
671,45,2,Basel-Stadt,4058,1220,819,-401,-201,"18,2"
672,52,2,Basel-Stadt,4058,1490,946,-544,-272,"18,2"
673,45,"1,5",Basel-Stadt,4058,1220,803,-417,-278,"17,85"
675,45,2,Basel-Stadt,4058,1300,819,-481,-241,"18,2"
677,100,"4,5",Waadt,1030,2495,1630,-865,-192,"16,3"
678,104,"5,5",Bern,3604,2210,1409,-801,-146,"13,55"
679,78,4,Aargau,4310,1670,1115,-555,-139,"14,3"
680,78,4,Aargau,4310,1750,1115,-635,-159,"14,3"
681,45,2,Basel-Landschaft,4053,1210,770,-440,-220,"17,1"
681,45,2,Basel-Stadt,4053,1210,819,-391,-196,"18,2"
682,83,"3,5",Thurgau,8522,1500,1108,-392,-112,"13,35"
683,67,"3,5",Solothurn,5012,1210,888,-322,-92,"13,25"
684,57,"2,5",Solothurn,5012,990,784,-206,-82,"13,75"
685,106,"4,5",Zug,6340,2320,1988,-332,-74,"18,75"
686,82,"4,5",Basel-Landschaft,4203,1480,1353,-127,-28,"16,5"
687,128,"4,5",Schwyz,8835,3700,2003,-1697,-377,"15,65"
690,135,"5,5",Zürich,8542,2800,2410,-390,-71,"17,85"
691,121,"4,5",Graubünden,7205,1950,1634,-316,-70,"13,5"
693,113,"4,5",Luzern,6207,1950,1599,-351,-78,"14,15"
696,36,"2,5",Freiburg,1635,1010,549,-461,-184,"15,25"
697,48,2,Zürich,8003,1853,994,-859,-430,"20,7"
698,101,"3,5",Zürich,8603,2250,1828,-422,-121,"18,1"
702,95,5,Genf,1203,3180,1758,-1422,-284,"18,5"
709,118,"3,5",Wallis,1941,1250,1564,314,90,"13,25"
710,35,"1,5",Wallis,1934,3150,565,-2585,-1723,"16,15"
711,16,1,Wallis,1934,725,278,-447,-447,"17,4"
712,89,3,Wallis,1906,1618,1237,-381,-127,"13,9"
713,70,3,Waadt,1400,1470,1197,-273,-91,"17,1"
714,108,"4,5",Waadt,1055,1980,1760,-220,-49,"16,3"
715,103,"3,5",Schwyz,6354,2200,1663,-537,-153,"16,15"
715,103,"3,5",Luzern,6354,2200,1524,-676,-193,"14,8"
716,87,"4,5",Luzern,6003,1900,1231,-669,-149,"14,15"
717,115,5,Luzern,6283,2140,1622,-518,-104,"14,1"
719,130,"4,5",Schwyz,8834,2790,2035,-755,-168,"15,65"
